Node	X	Y	Z	Belongs_To_Beam
24746	0.0	0.00080961	0.010193	24746
24749	0.00475	0.00080961	0.010193	24746
24748	0.0095	0.00080961	0.010193	24746
24747	0.01425	0.00080961	0.010193	24746
24745	0.019	0.00080961	0.010193	24746
24755	0.02	0.00080961	0.010193	24755
24758	0.02475	0.00080961	0.010193	24755
24757	0.0295	0.00080961	0.010193	24755
24756	0.03425	0.00080961	0.010193	24755
24754	0.039	0.00080961	0.010193	24755
24764	0.04	0.00080961	0.010193	24764
24767	0.04475	0.00080961	0.010193	24764
24766	0.0495	0.00080961	0.010193	24764
24765	0.05425	0.00080961	0.010193	24764
24763	0.059	0.00080961	0.010193	24764
24440	0.0	0.098988	0.010367	24440
24443	0.00475	0.098988	0.010367	24440
24442	0.0095	0.098988	0.010367	24440
24441	0.01425	0.098988	0.010367	24440
24439	0.019	0.098988	0.010367	24440
24791	0.0	0.10081	0.010193	24791
24794	0.00475	0.10081	0.010193	24791
24793	0.0095	0.10081	0.010193	24791
24792	0.01425	0.10081	0.010193	24791
24790	0.019	0.10081	0.010193	24791
24431	0.02	0.098988	0.010367	24431
24434	0.02475	0.098988	0.010367	24431
24433	0.0295	0.098988	0.010367	24431
24432	0.03425	0.098988	0.010367	24431
24430	0.039	0.098988	0.010367	24431
24782	0.02	0.10081	0.010193	24782
24785	0.02475	0.10081	0.010193	24782
24784	0.0295	0.10081	0.010193	24782
24783	0.03425	0.10081	0.010193	24782
24781	0.039	0.10081	0.010193	24782
24377	0.04	0.098988	0.010367	24377
24380	0.04475	0.098988	0.010367	24377
24379	0.0495	0.098988	0.010367	24377
24378	0.05425	0.098988	0.010367	24377
24376	0.059	0.098988	0.010367	24377
24773	0.04	0.10081	0.010193	24773
24776	0.04475	0.10081	0.010193	24773
24775	0.0495	0.10081	0.010193	24773
24774	0.05425	0.10081	0.010193	24773
24772	0.059	0.10081	0.010193	24773
25142	0.0	0.19899	0.010367	25142
25145	0.00475	0.19899	0.010367	25142
25144	0.0095	0.19899	0.010367	25142
25143	0.01425	0.19899	0.010367	25142
25141	0.019	0.19899	0.010367	25142
25133	0.0	0.20081	0.010193	25133
25136	0.00475	0.20081	0.010193	25133
25135	0.0095	0.20081	0.010193	25133
25134	0.01425	0.20081	0.010193	25133
25132	0.019	0.20081	0.010193	25133
25124	0.02	0.19899	0.010367	25124
25127	0.02475	0.19899	0.010367	25124
25126	0.0295	0.19899	0.010367	25124
25125	0.03425	0.19899	0.010367	25124
25123	0.039	0.19899	0.010367	25124
25115	0.02	0.20081	0.010193	25115
25118	0.02475	0.20081	0.010193	25115
25117	0.0295	0.20081	0.010193	25115
25116	0.03425	0.20081	0.010193	25115
25114	0.039	0.20081	0.010193	25115
25097	0.04	0.19899	0.010367	25097
25100	0.04475	0.19899	0.010367	25097
25099	0.0495	0.19899	0.010367	25097
25098	0.05425	0.19899	0.010367	25097
25096	0.059	0.19899	0.010367	25097
25106	0.04	0.20081	0.010193	25106
25109	0.04475	0.20081	0.010193	25106
25108	0.0495	0.20081	0.010193	25106
25107	0.05425	0.20081	0.010193	25106
25105	0.059	0.20081	0.010193	25106
25574	0.0	0.29899	0.010367	25574
25577	0.00475	0.29899	0.010367	25574
25576	0.0095	0.29899	0.010367	25574
25575	0.01425	0.29899	0.010367	25574
25573	0.019	0.29899	0.010367	25574
25565	0.02	0.29899	0.010367	25565
25568	0.02475	0.29899	0.010367	25565
25567	0.0295	0.29899	0.010367	25565
25566	0.03425	0.29899	0.010367	25565
25564	0.039	0.29899	0.010367	25565
25556	0.04	0.29899	0.010367	25556
25559	0.04475	0.29899	0.010367	25556
25558	0.0495	0.29899	0.010367	25556
25557	0.05425	0.29899	0.010367	25556
25555	0.059	0.29899	0.010367	25556
