BodyName	Node	X	Y	Z
body 1	24746	0.0	0.00080961	0.010193
body 1	24749	0.00475	0.00080961	0.010193
body 1	24748	0.0095	0.00080961	0.010193
body 1	24747	0.01425	0.00080961	0.010193
body 1	24745	0.019	0.00080961	0.010193
body 2	24755	0.02	0.00080961	0.010193
body 2	24758	0.02475	0.00080961	0.010193
body 2	24757	0.0295	0.00080961	0.010193
body 2	24756	0.03425	0.00080961	0.010193
body 2	24754	0.039	0.00080961	0.010193
body 3	24764	0.04	0.00080961	0.010193
body 3	24767	0.04475	0.00080961	0.010193
body 3	24766	0.0495	0.00080961	0.010193
body 3	24765	0.05425	0.00080961	0.010193
body 3	24763	0.059	0.00080961	0.010193
body 4	24440	0.0	0.098988	0.010367
body 4	24443	0.00475	0.098988	0.010367
body 4	24442	0.0095	0.098988	0.010367
body 4	24441	0.01425	0.098988	0.010367
body 4	24439	0.019	0.098988	0.010367
body 5	24791	0.0	0.10081	0.010193
body 5	24794	0.00475	0.10081	0.010193
body 5	24793	0.0095	0.10081	0.010193
body 5	24792	0.01425	0.10081	0.010193
body 5	24790	0.019	0.10081	0.010193
body 6	24431	0.02	0.098988	0.010367
body 6	24434	0.02475	0.098988	0.010367
body 6	24433	0.0295	0.098988	0.010367
body 6	24432	0.03425	0.098988	0.010367
body 6	24430	0.039	0.098988	0.010367
body 7	24782	0.02	0.10081	0.010193
body 7	24785	0.02475	0.10081	0.010193
body 7	24784	0.0295	0.10081	0.010193
body 7	24783	0.03425	0.10081	0.010193
body 7	24781	0.039	0.10081	0.010193
body 8	24377	0.04	0.098988	0.010367
body 8	24380	0.04475	0.098988	0.010367
body 8	24379	0.0495	0.098988	0.010367
body 8	24378	0.05425	0.098988	0.010367
body 8	24376	0.059	0.098988	0.010367
body 9	24773	0.04	0.10081	0.010193
body 9	24776	0.04475	0.10081	0.010193
body 9	24775	0.0495	0.10081	0.010193
body 9	24774	0.05425	0.10081	0.010193
body 9	24772	0.059	0.10081	0.010193
body 10	25142	0.0	0.19899	0.010367
body 10	25145	0.00475	0.19899	0.010367
body 10	25144	0.0095	0.19899	0.010367
body 10	25143	0.01425	0.19899	0.010367
body 10	25141	0.019	0.19899	0.010367
body 11	25133	0.0	0.20081	0.010193
body 11	25136	0.00475	0.20081	0.010193
body 11	25135	0.0095	0.20081	0.010193
body 11	25134	0.01425	0.20081	0.010193
body 11	25132	0.019	0.20081	0.010193
body 12	25124	0.02	0.19899	0.010367
body 12	25127	0.02475	0.19899	0.010367
body 12	25126	0.0295	0.19899	0.010367
body 12	25125	0.03425	0.19899	0.010367
body 12	25123	0.039	0.19899	0.010367
body 13	25115	0.02	0.20081	0.010193
body 13	25118	0.02475	0.20081	0.010193
body 13	25117	0.0295	0.20081	0.010193
body 13	25116	0.03425	0.20081	0.010193
body 13	25114	0.039	0.20081	0.010193
body 14	25097	0.04	0.19899	0.010367
body 14	25100	0.04475	0.19899	0.010367
body 14	25099	0.0495	0.19899	0.010367
body 14	25098	0.05425	0.19899	0.010367
body 14	25096	0.059	0.19899	0.010367
body 15	25106	0.04	0.20081	0.010193
body 15	25109	0.04475	0.20081	0.010193
body 15	25108	0.0495	0.20081	0.010193
body 15	25107	0.05425	0.20081	0.010193
body 15	25105	0.059	0.20081	0.010193
body 16	25574	0.0	0.29899	0.010367
body 16	25577	0.00475	0.29899	0.010367
body 16	25576	0.0095	0.29899	0.010367
body 16	25575	0.01425	0.29899	0.010367
body 16	25573	0.019	0.29899	0.010367
body 17	25565	0.02	0.29899	0.010367
body 17	25568	0.02475	0.29899	0.010367
body 17	25567	0.0295	0.29899	0.010367
body 17	25566	0.03425	0.29899	0.010367
body 17	25564	0.039	0.29899	0.010367
body 18	25556	0.04	0.29899	0.010367
body 18	25559	0.04475	0.29899	0.010367
body 18	25558	0.0495	0.29899	0.010367
body 18	25557	0.05425	0.29899	0.010367
body 18	25555	0.059	0.29899	0.010367
