BodyID	Node	X	Y	Z
-340441.0	24367	0.059	0.091804	0.016529
-340441.0	24368	0.04	0.091804	0.016529
-340441.0	24369	0.05425	0.091804	0.016529
-340441.0	24370	0.0495	0.091804	0.016529
-340441.0	24371	0.04475	0.091804	0.016529
-340441.0	24373			
-340441.0	24374			
-340441.0	24375			
-340441.0	24372			
-340439.0	24377	0.04	0.098988	0.010367
-340439.0	24376	0.059	0.098988	0.010367
-340439.0	24378	0.05425	0.098988	0.010367
-340439.0	24380	0.04475	0.098988	0.010367
-340439.0	24379	0.0495	0.098988	0.010367
-340439.0	24381			
-340439.0	24384			
-340439.0	24382			
-340439.0	24383			
-340437.0	24387	0.05425	0.084804	0.021166
-340437.0	24386	0.04	0.084804	0.021166
-340437.0	24391			
-340437.0	24388	0.0495	0.084804	0.021166
-340437.0	24389	0.04475	0.084804	0.021166
-340437.0	24390			
-340437.0	24385	0.059	0.084804	0.021166
-340437.0	24392			
-340437.0	24393			
-340435.0	24394	0.059	0.077804	0.024705
-340435.0	24398	0.04475	0.077804	0.024705
-340435.0	24400			
-340435.0	24401			
-340435.0	24399			
-340435.0	24395	0.04	0.077804	0.024705
-340435.0	24402			
-340435.0	24397	0.0495	0.077804	0.024705
-340435.0	24396	0.05425	0.077804	0.024705
-340433.0	24404	0.02	0.077804	0.024705
-340433.0	24408			
-340433.0	24410			
-340433.0	24405	0.03425	0.077804	0.024705
-340433.0	24403	0.039	0.077804	0.024705
-340433.0	24411			
-340433.0	24406	0.0295	0.077804	0.024705
-340433.0	24407	0.02475	0.077804	0.024705
-340433.0	24409			
-340431.0	24420			
-340431.0	24414	0.03425	0.084804	0.021166
-340431.0	24413	0.02	0.084804	0.021166
-340431.0	24417			
-340431.0	24415	0.0295	0.084804	0.021166
-340431.0	24416	0.02475	0.084804	0.021166
-340431.0	24412	0.039	0.084804	0.021166
-340431.0	24419			
-340431.0	24418			
-340429.0	24423	0.03425	0.091804	0.016529
-340429.0	24424	0.0295	0.091804	0.016529
-340429.0	24421	0.039	0.091804	0.016529
-340429.0	24422	0.02	0.091804	0.016529
-340429.0	24427			
-340429.0	24429			
-340429.0	24428			
-340429.0	24425	0.02475	0.091804	0.016529
-340429.0	24426			
-340427.0	24437			
-340427.0	24432	0.03425	0.098988	0.010367
-340427.0	24431	0.02	0.098988	0.010367
-340427.0	24430	0.039	0.098988	0.010367
-340427.0	24436			
-340427.0	24438			
-340427.0	24435			
-340427.0	24433	0.0295	0.098988	0.010367
-340427.0	24434	0.02475	0.098988	0.010367
-340425.0	24447			
-340425.0	24444			
-340425.0	24445			
-340425.0	24442	0.0095	0.098988	0.010367
-340425.0	24443	0.00475	0.098988	0.010367
-340425.0	24439	0.019	0.098988	0.010367
-340425.0	24441	0.01425	0.098988	0.010367
-340425.0	24440	0.0	0.098988	0.010367
-340425.0	24446			
-340423.0	24455			
-340423.0	24453			
-340423.0	24450	0.01425	0.091804	0.016529
-340423.0	24451	0.0095	0.091804	0.016529
-340423.0	24456			
-340423.0	24449	0.0	0.091804	0.016529
-340423.0	24448	0.019	0.091804	0.016529
-340423.0	24454			
-340423.0	24452	0.00475	0.091804	0.016529
-340421.0	24463			
-340421.0	24458	0.0	0.084804	0.021166
-340421.0	24459	0.01425	0.084804	0.021166
-340421.0	24464			
-340421.0	24465			
-340421.0	24457	0.019	0.084804	0.021166
-340421.0	24461	0.00475	0.084804	0.021166
-340421.0	24460	0.0095	0.084804	0.021166
-340421.0	24462			
-340419.0	24474			
-340419.0	24467	0.0	0.077804	0.024705
-340419.0	24472			
-340419.0	24473			
-340419.0	24466	0.019	0.077804	0.024705
-340419.0	24471			
-340419.0	24468	0.01425	0.077804	0.024705
-340419.0	24469	0.0095	0.077804	0.024705
-340419.0	24470	0.00475	0.077804	0.024705
-340417.0	24478	0.0295	0.070803	0.027323
-340417.0	24477	0.03425	0.070803	0.027323
-340417.0	24476	0.02	0.070803	0.027323
-340417.0	24475	0.039	0.070803	0.027323
-340417.0	24482			
-340417.0	24483			
