BodyName	Node	X	Y	Z
Body_101	25150	0.019	0.1918	0.016529
Body_101	25151	0.0	0.1918	0.016529
Body_101	25152	0.01425	0.1918	0.016529
Body_101	25153	0.0095	0.1918	0.016529
Body_101	25154	0.00475	0.1918	0.016529
Body_101	25155			
Body_101	25156			
Body_101	25157			
Body_101	25158			
Body_104	25177	0.039	0.1918	0.016529
Body_104	25178	0.02	0.1918	0.016529
Body_104	25179	0.03425	0.1918	0.016529
Body_104	25180	0.0295	0.1918	0.016529
Body_104	25181	0.02475	0.1918	0.016529
Body_104	25182			
Body_104	25183			
Body_104	25184			
Body_104	25185			
Body_107	25186	0.059	0.1918	0.016529
Body_107	25187	0.04	0.1918	0.016529
Body_107	25188	0.05425	0.1918	0.016529
Body_107	25189	0.0495	0.1918	0.016529
Body_107	25190	0.04475	0.1918	0.016529
Body_107	25191			
Body_107	25192			
Body_107	25193			
Body_107	25194			
Body_110	25510	0.019	0.2918	0.016529
Body_110	25511	0.0	0.2918	0.016529
Body_110	25512	0.01425	0.2918	0.016529
Body_110	25513	0.0095	0.2918	0.016529
Body_110	25514	0.00475	0.2918	0.016529
Body_110	25515			
Body_110	25516			
Body_110	25517			
Body_110	25518			
Body_113	25519	0.039	0.2918	0.016529
Body_113	25520	0.02	0.2918	0.016529
Body_113	25521	0.03425	0.2918	0.016529
Body_113	25522	0.0295	0.2918	0.016529
Body_113	25523	0.02475	0.2918	0.016529
Body_113	25524			
Body_113	25525			
Body_113	25526			
Body_113	25527			
Body_116	25546	0.059	0.2918	0.016529
Body_116	25547	0.04	0.2918	0.016529
Body_116	25548	0.05425	0.2918	0.016529
Body_116	25549	0.0495	0.2918	0.016529
Body_116	25550	0.04475	0.2918	0.016529
Body_116	25551			
Body_116	25552			
Body_116	25553			
Body_116	25554			
Body_119	24700	0.019	0.014802	0.020937
Body_119	24701	0.0	0.014802	0.020937
Body_119	24702	0.01425	0.014802	0.020937
Body_119	24703	0.0095	0.014802	0.020937
Body_119	24704	0.00475	0.014802	0.020937
Body_119	24705			
Body_119	24706			
Body_119	24707			
Body_119	24708			
Body_122	24691	0.039	0.014802	0.020937
Body_122	24692	0.02	0.014802	0.020937
Body_122	24693	0.03425	0.014802	0.020937
Body_122	24694	0.0295	0.014802	0.020937
Body_122	24695	0.02475	0.014802	0.020937
Body_122	24696			
Body_122	24697			
Body_122	24698			
Body_122	24699			
Body_125	24709	0.059	0.014802	0.020937
Body_125	24710	0.04	0.014802	0.020937
Body_125	24711	0.05425	0.014802	0.020937
Body_125	24712	0.0495	0.014802	0.020937
Body_125	24713	0.04475	0.014802	0.020937
Body_125	24714			
Body_125	24715			
Body_125	24716			
Body_125	24717			
Body_128	24808	0.019	0.1148	0.020937
Body_128	24809	0.0	0.1148	0.020937
Body_128	24810	0.01425	0.1148	0.020937
Body_128	24811	0.0095	0.1148	0.020937
Body_128	24812	0.00475	0.1148	0.020937
Body_128	24813			
Body_128	24814			
Body_128	24815			
Body_128	24816			
Body_131	24889	0.039	0.1148	0.020937
Body_131	24890	0.02	0.1148	0.020937
Body_131	24891	0.03425	0.1148	0.020937
Body_131	24892	0.0295	0.1148	0.020937
Body_131	24893	0.02475	0.1148	0.020937
Body_131	24894			
Body_131	24895			
Body_131	24896			
Body_131	24897			
Body_134	24916	0.059	0.1148	0.020937
Body_134	24917	0.04	0.1148	0.020937
Body_134	24918	0.05425	0.1148	0.020937
Body_134	24919	0.0495	0.1148	0.020937
Body_134	24920	0.04475	0.1148	0.020937
Body_134	24921			
Body_134	24922			
Body_134	24923			
Body_134	24924			
Body_137	25231	0.019	0.2148	0.020937
Body_137	25232	0.0	0.2148	0.020937
Body_137	25233	0.01425	0.2148	0.020937
Body_137	25234	0.0095	0.2148	0.020937
Body_137	25235	0.00475	0.2148	0.020937
Body_137	25236			
Body_137	25237			
Body_137	25238			
Body_137	25239			
Body_140	25366	0.039	0.2148	0.020937
Body_140	25367	0.02	0.2148	0.020937
Body_140	25368	0.03425	0.2148	0.020937
Body_140	25369	0.0295	0.2148	0.020937
Body_140	25370	0.02475	0.2148	0.020937
Body_140	25371			
Body_140	25372			
Body_140	25373			
Body_140	25374			
Body_143	25375	0.059	0.2148	0.020937
Body_143	25376	0.04	0.2148	0.020937
Body_143	25377	0.05425	0.2148	0.020937
Body_143	25378	0.0495	0.2148	0.020937
Body_143	25379	0.04475	0.2148	0.020937
Body_143	25380			
Body_143	25381			
Body_143	25382			
Body_143	25383			
Body_146	24457	0.019	0.084804	0.021166
Body_146	24458	0.0	0.084804	0.021166
Body_146	24459	0.01425	0.084804	0.021166
Body_146	24460	0.0095	0.084804	0.021166
Body_146	24461	0.00475	0.084804	0.021166
Body_146	24462			
Body_146	24463			
Body_146	24464			
Body_146	24465			
Body_149	24412	0.039	0.084804	0.021166
Body_149	24413	0.02	0.084804	0.021166
Body_149	24414	0.03425	0.084804	0.021166
Body_149	24415	0.0295	0.084804	0.021166
Body_149	24416	0.02475	0.084804	0.021166
Body_149	24417			
Body_149	24418			
Body_149	24419			
Body_149	24420			
Body_152	24385	0.059	0.084804	0.021166
Body_152	24386	0.04	0.084804	0.021166
Body_152	24387	0.05425	0.084804	0.021166
Body_152	24388	0.0495	0.084804	0.021166
Body_152	24389	0.04475	0.084804	0.021166
Body_152	24390			
Body_152	24391			
Body_152	24392			
Body_152	24393			
Body_155	25159	0.019	0.1848	0.021166
