,Beam,Node,X,Y,Z,track,arch,original,arc,beam_id,beam_id_mirrored,Beam_mirrored,Beam_mirrored_num
0,Beam_1_1_2,24746,0.0,0.00080961,0.010193,1,1,1,1,2,15,Beam_1_1_15,1115
1,Beam_1_1_2,24749,0.00475,0.00080961,0.010193,1,1,1,1,2,15,Beam_1_1_15,1115
2,Beam_1_1_2,24748,0.0095,0.00080961,0.010193,1,1,1,1,2,15,Beam_1_1_15,1115
3,Beam_1_1_2,24747,0.01425,0.00080961,0.010193,1,1,1,1,2,15,Beam_1_1_15,1115
4,Beam_1_1_2,24745,0.019,0.00080961,0.010193,1,1,1,1,2,15,Beam_1_1_15,1115
5,Beam_1_1_1,15043,0.0015739,0.0017229,0.010308,1,1,65,1,1,14,Beam_1_1_14,1114
6,Beam_1_1_1,15069,0.0015742,0.0017229,0.011699,1,1,65,1,1,14,Beam_1_1_14,1114
7,Beam_1_1_1,15046,0.017426,0.0017229,0.010308,1,1,65,1,1,14,Beam_1_1_14,1114
8,Beam_1_1_1,15059,0.017426,0.0017229,0.011699,1,1,65,1,1,14,Beam_1_1_14,1114
9,Beam_1_1_1,15042,0.0031608,0.0021394,0.010713,1,1,65,1,1,14,Beam_1_1_14,1114
10,Beam_1_1_1,15047,0.015839,0.0021394,0.010713,1,1,65,1,1,14,Beam_1_1_14,1114
11,Beam_1_1_1,15068,0.0031613,0.0021395,0.012092,1,1,65,1,1,14,Beam_1_1_14,1114
12,Beam_1_1_1,15060,0.015839,0.0021395,0.012092,1,1,65,1,1,14,Beam_1_1_14,1114
13,Beam_1_1_1,15041,0.004738,0.0025533,0.011108,1,1,65,1,1,14,Beam_1_1_14,1114
14,Beam_1_1_1,15048,0.014262,0.0025533,0.011108,1,1,65,1,1,14,Beam_1_1_14,1114
15,Beam_1_1_1,15067,0.0047385,0.0025534,0.012477,1,1,65,1,1,14,Beam_1_1_14,1114
16,Beam_1_1_1,15061,0.014262,0.0025534,0.012477,1,1,65,1,1,14,Beam_1_1_14,1114
17,Beam_1_1_1,15032,0.001888,0.0028053,0.011346,1,1,65,1,1,14,Beam_1_1_14,1114
18,Beam_1_1_1,15076,0.0018882,0.0028054,0.012708,1,1,65,1,1,14,Beam_1_1_14,1114
19,Beam_1_1_1,15008,0.017116,0.0028175,0.011357,1,1,65,1,1,14,Beam_1_1_14,1114
20,Beam_1_1_1,15092,0.017116,0.0028176,0.012719,1,1,65,1,1,14,Beam_1_1_14,1114
21,Beam_1_1_1,15040,0.0063276,0.0029705,0.0115,1,1,65,1,1,14,Beam_1_1_14,1114
22,Beam_1_1_1,15049,0.012672,0.0029705,0.0115,1,1,65,1,1,14,Beam_1_1_14,1114
23,Beam_1_1_1,15066,0.0063281,0.0029706,0.012858,1,1,65,1,1,14,Beam_1_1_14,1114
24,Beam_1_1_1,15062,0.012672,0.0029706,0.012858,1,1,65,1,1,14,Beam_1_1_14,1114
25,Beam_1_1_1,15031,0.0037936,0.0033054,0.01181,1,1,65,1,1,14,Beam_1_1_14,1114
26,Beam_1_1_1,15075,0.0037939,0.0033055,0.01316,1,1,65,1,1,14,Beam_1_1_14,1114
27,Beam_1_1_1,15009,0.015215,0.003315,0.011819,1,1,65,1,1,14,Beam_1_1_14,1114
28,Beam_1_1_1,15093,0.015215,0.0033151,0.013169,1,1,65,1,1,14,Beam_1_1_14,1114
29,Beam_1_1_1,15039,0.0079079,0.0033852,0.011883,1,1,65,1,1,14,Beam_1_1_14,1114
30,Beam_1_1_1,15050,0.011092,0.0033852,0.011883,1,1,65,1,1,14,Beam_1_1_14,1114
31,Beam_1_1_1,15065,0.0079081,0.0033853,0.013232,1,1,65,1,1,14,Beam_1_1_14,1114
32,Beam_1_1_1,15063,0.011092,0.0033853,0.013232,1,1,65,1,1,14,Beam_1_1_14,1114
33,Beam_1_1_1,15030,0.0056859,0.0038021,0.012262,1,1,65,1,1,14,Beam_1_1_14,1114
34,Beam_1_1_1,15074,0.0056861,0.0038021,0.013601,1,1,65,1,1,14,Beam_1_1_14,1114
35,Beam_1_1_1,15064,0.0095,0.0038031,0.013602,1,1,65,1,1,14,Beam_1_1_14,1114
36,Beam_1_1_1,15038,0.0095,0.0038031,0.012263,1,1,65,1,1,14,Beam_1_1_14,1114
37,Beam_1_1_1,15010,0.013327,0.0038091,0.012268,1,1,65,1,1,14,Beam_1_1_14,1114
38,Beam_1_1_1,15094,0.013326,0.0038092,0.013607,1,1,65,1,1,14,Beam_1_1_14,1114
39,Beam_1_1_1,15073,0.0075949,0.0043031,0.014037,1,1,65,1,1,14,Beam_1_1_14,1114
40,Beam_1_1_1,15029,0.0075949,0.0043031,0.012709,1,1,65,1,1,14,Beam_1_1_14,1114
41,Beam_1_1_1,15091,0.011422,0.0043075,0.01404,1,1,65,1,1,14,Beam_1_1_14,1114
42,Beam_1_1_1,15011,0.011422,0.0043075,0.012713,1,1,65,1,1,14,Beam_1_1_14,1114
43,Beam_1_1_1,15037,0.0057057,0.0047989,0.013143,1,1,65,1,1,14,Beam_1_1_14,1114
44,Beam_1_1_1,15072,0.0057055,0.004799,0.01446,1,1,65,1,1,14,Beam_1_1_14,1114
45,Beam_1_1_1,15088,0.013307,0.0048023,0.014463,1,1,65,1,1,14,Beam_1_1_14,1114
46,Beam_1_1_1,15012,0.013307,0.0048023,0.013146,1,1,65,1,1,14,Beam_1_1_14,1114
47,Beam_1_1_1,15082,0.0095141,0.0048068,0.014466,1,1,65,1,1,14,Beam_1_1_14,1114
48,Beam_1_1_1,15016,0.0095141,0.0048068,0.01315,1,1,65,1,1,14,Beam_1_1_14,1114
49,Beam_1_1_1,15083,0.0079357,0.0052198,0.014813,1,1,65,1,1,14,Beam_1_1_14,1114
50,Beam_1_1_1,15017,0.0079359,0.0052198,0.013505,1,1,65,1,1,14,Beam_1_1_14,1114
51,Beam_1_1_1,15081,0.011088,0.0052198,0.014813,1,1,65,1,1,14,Beam_1_1_14,1114
52,Beam_1_1_1,15028,0.011088,0.0052198,0.013505,1,1,65,1,1,14,Beam_1_1_14,1114
