Beam	Node	X	Y	Z	track	arch	original
Beam_1_1_2	24746	0.0	0.00080961	0.010193	1	1	1
Beam_1_1_2	24749	0.00475	0.00080961	0.010193	1	1	1
Beam_1_1_2	24748	0.0095	0.00080961	0.010193	1	1	1
Beam_1_1_2	24747	0.01425	0.00080961	0.010193	1	1	1
Beam_1_1_2	24745	0.019	0.00080961	0.010193	1	1	1
Beam_1_1_1	15043	0.0015739	0.0017229	0.010308	1	1	65
Beam_1_1_1	15069	0.0015742	0.0017229	0.011699	1	1	65
Beam_1_1_1	15046	0.017426	0.0017229	0.010308	1	1	65
Beam_1_1_1	15059	0.017426	0.0017229	0.011699	1	1	65
Beam_1_1_1	15042	0.0031608	0.0021394	0.010713	1	1	65
Beam_1_1_1	15047	0.015839	0.0021394	0.010713	1	1	65
Beam_1_1_1	15068	0.0031613	0.0021395	0.012092	1	1	65
Beam_1_1_1	15060	0.015839	0.0021395	0.012092	1	1	65
Beam_1_1_1	15041	0.004738	0.0025533	0.011108	1	1	65
Beam_1_1_1	15048	0.014262	0.0025533	0.011108	1	1	65
Beam_1_1_1	15067	0.0047385	0.0025534	0.012477	1	1	65
Beam_1_1_1	15061	0.014262	0.0025534	0.012477	1	1	65
Beam_1_1_1	15032	0.001888	0.0028053	0.011346	1	1	65
Beam_1_1_1	15076	0.0018882	0.0028054	0.012708	1	1	65
Beam_1_1_1	15008	0.017116	0.0028175	0.011357	1	1	65
Beam_1_1_1	15092	0.017116	0.0028176	0.012719	1	1	65
Beam_1_1_1	15040	0.0063276	0.0029705	0.0115	1	1	65
Beam_1_1_1	15049	0.012672	0.0029705	0.0115	1	1	65
Beam_1_1_1	15066	0.0063281	0.0029706	0.012858	1	1	65
Beam_1_1_1	15062	0.012672	0.0029706	0.012858	1	1	65
Beam_1_1_1	15031	0.0037936	0.0033054	0.01181	1	1	65
Beam_1_1_1	15075	0.0037939	0.0033055	0.01316	1	1	65
Beam_1_1_1	15009	0.015215	0.003315	0.011819	1	1	65
Beam_1_1_1	15093	0.015215	0.0033151	0.013169	1	1	65
Beam_1_1_1	15039	0.0079079	0.0033852	0.011883	1	1	65
Beam_1_1_1	15050	0.011092	0.0033852	0.011883	1	1	65
Beam_1_1_1	15065	0.0079081	0.0033853	0.013232	1	1	65
Beam_1_1_1	15063	0.011092	0.0033853	0.013232	1	1	65
Beam_1_1_1	15030	0.0056859	0.0038021	0.012262	1	1	65
Beam_1_1_1	15074	0.0056861	0.0038021	0.013601	1	1	65
Beam_1_1_1	15064	0.0095	0.0038031	0.013602	1	1	65
Beam_1_1_1	15038	0.0095	0.0038031	0.012263	1	1	65
Beam_1_1_1	15010	0.013327	0.0038091	0.012268	1	1	65
Beam_1_1_1	15094	0.013326	0.0038092	0.013607	1	1	65
Beam_1_1_1	15073	0.0075949	0.0043031	0.014037	1	1	65
Beam_1_1_1	15029	0.0075949	0.0043031	0.012709	1	1	65
