Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	6.5e-002	0.3055	-3.5723e-028	
2	6.e-002	0.3055	-3.5723e-028	
3	5.5e-002	0.3055	-3.5723e-028	
4	5.e-002	0.3055	-3.5723e-028	
5	4.5e-002	0.3055	-3.5723e-028	
6	4.e-002	0.3055	-3.5723e-028	
7	3.5e-002	0.3055	-3.5723e-028	
8	3.e-002	0.3055	-3.5723e-028	
9	2.5e-002	0.3055	-3.5723e-028	
10	2.e-002	0.3055	-3.5723e-028	
11	1.5e-002	0.3055	-3.5723e-028	
12	1.e-002	0.3055	-3.5723e-028	
13	5.e-003	0.3055	-3.5723e-028	
14	-3.5128e-017	0.3055	-3.5723e-028	
15	-5.e-003	0.3055	-3.5723e-028	
16	6.5e-002	0.3005	-3.4895e-028	
17	6.e-002	0.3005	-3.4895e-028	
18	5.5e-002	0.3005	-3.4895e-028	
19	5.e-002	0.3005	-3.4895e-028	
20	4.5e-002	0.3005	-3.4895e-028	
21	4.e-002	0.3005	-3.4895e-028	
22	3.5e-002	0.3005	-3.4895e-028	
23	3.e-002	0.3005	-3.4895e-028	
24	2.5e-002	0.3005	-3.4895e-028	
25	2.e-002	0.3005	-3.4895e-028	
26	1.5e-002	0.3005	-3.4895e-028	
27	1.e-002	0.3005	-3.4895e-028	
28	5.e-003	0.3005	-3.4895e-028	
29	7.8063e-018	0.3005	-3.4895e-028	
30	-5.e-003	0.3005	-3.4895e-028	
31	6.5e-002	0.2955	-3.4066e-028	
32	6.e-002	0.2955	-3.4066e-028	
33	5.5e-002	0.2955	-3.4066e-028	
34	5.e-002	0.2955	-3.4066e-028	
35	4.5e-002	0.2955	-3.4066e-028	
36	4.e-002	0.2955	-3.4066e-028	
37	3.5e-002	0.2955	-3.4066e-028	
38	3.e-002	0.2955	-3.4066e-028	
39	2.5e-002	0.2955	-3.4066e-028	
40	2.e-002	0.2955	-3.4066e-028	
41	1.5e-002	0.2955	-3.4066e-028	
42	1.e-002	0.2955	-3.4066e-028	
43	5.e-003	0.2955	-3.4066e-028	
44	3.4694e-018	0.2955	-3.4066e-028	
45	-5.e-003	0.2955	-3.4066e-028	
46	6.5e-002	0.2905	-3.3238e-028	
47	6.e-002	0.2905	-3.3238e-028	
48	5.5e-002	0.2905	-3.3238e-028	
49	5.e-002	0.2905	-3.3238e-028	
50	4.5e-002	0.2905	-3.3238e-028	
51	4.e-002	0.2905	-3.3238e-028	
52	3.5e-002	0.2905	-3.3238e-028	
53	3.e-002	0.2905	-3.3238e-028	
54	2.5e-002	0.2905	-3.3238e-028	
55	2.e-002	0.2905	-3.3238e-028	
56	1.5e-002	0.2905	-3.3238e-028	
57	1.e-002	0.2905	-3.3238e-028	
58	5.e-003	0.2905	-3.3238e-028	
59	-5.6379e-017	0.2905	-3.3238e-028	
60	-5.e-003	0.2905	-3.3238e-028	
61	6.5e-002	0.2855	-3.241e-028	
62	6.e-002	0.2855	-3.241e-028	
63	5.5e-002	0.2855	-3.241e-028	
64	5.e-002	0.2855	-3.241e-028	
65	4.5e-002	0.2855	-3.241e-028	
66	4.e-002	0.2855	-3.241e-028	
67	3.5e-002	0.2855	-3.241e-028	
68	3.e-002	0.2855	-3.241e-028	
69	2.5e-002	0.2855	-3.241e-028	
70	2.e-002	0.2855	-3.241e-028	
71	1.5e-002	0.2855	-3.241e-028	
72	1.e-002	0.2855	-3.241e-028	
73	5.e-003	0.2855	-3.241e-028	
74	1.5984e-017	0.2855	-3.241e-028	
75	-5.e-003	0.2855	-3.241e-028	
76	6.5e-002	0.2805	-3.1582e-028	
77	6.e-002	0.2805	-3.1582e-028	
78	5.5e-002	0.2805	-3.1582e-028	
79	5.e-002	0.2805	-3.1582e-028	
80	4.5e-002	0.2805	-3.1582e-028	
81	4.e-002	0.2805	-3.1582e-028	
82	3.5e-002	0.2805	-3.1582e-028	
83	3.e-002	0.2805	-3.1582e-028	
84	2.5e-002	0.2805	-3.1582e-028	
85	2.e-002	0.2805	-3.1582e-028	
86	1.5e-002	0.2805	-3.1582e-028	
87	1.e-002	0.2805	-3.1582e-028	
88	5.e-003	0.2805	-3.1582e-028	
89	-1.8215e-016	0.2805	-3.1582e-028	
90	-5.e-003	0.2805	-3.1582e-028	
91	6.5e-002	0.2755	-3.0753e-028	
92	6.e-002	0.2755	-3.0753e-028	
93	5.5e-002	0.2755	-3.0753e-028	
94	5.e-002	0.2755	-3.0753e-028	
95	4.5e-002	0.2755	-3.0753e-028	
96	4.e-002	0.2755	-3.0753e-028	
97	3.5e-002	0.2755	-3.0753e-028	
98	3.e-002	0.2755	-3.0753e-028	
99	2.5e-002	0.2755	-3.0753e-028	
100	2.e-002	0.2755	-3.0753e-028	
101	1.5e-002	0.2755	-3.0753e-028	
102	1.e-002	0.2755	-3.0753e-028	
103	5.e-003	0.2755	-3.0753e-028	
104	-8.6736e-018	0.2755	-3.0753e-028	
105	-5.e-003	0.2755	-3.0753e-028	
106	6.5e-002	0.2705	-2.9925e-028	
107	6.e-002	0.2705	-2.9925e-028	
108	5.5e-002	0.2705	-2.9925e-028	
109	5.e-002	0.2705	-2.9925e-028	
110	4.5e-002	0.2705	-2.9925e-028	
111	4.e-002	0.2705	-2.9925e-028	
112	3.5e-002	0.2705	-2.9925e-028	
113	3.e-002	0.2705	-2.9925e-028	
114	2.5e-002	0.2705	-2.9925e-028	
115	2.e-002	0.2705	-2.9925e-028	
116	1.5e-002	0.2705	-2.9925e-028	
117	1.e-002	0.2705	-2.9925e-028	
118	5.e-003	0.2705	-2.9925e-028	
119	3.4694e-017	0.2705	-2.9925e-028	
120	-5.e-003	0.2705	-2.9925e-028	
121	6.5e-002	0.2655	-2.9097e-028	
122	6.e-002	0.2655	-2.9097e-028	
123	5.5e-002	0.2655	-2.9097e-028	
124	5.e-002	0.2655	-2.9097e-028	
125	4.5e-002	0.2655	-2.9097e-028	
126	4.e-002	0.2655	-2.9097e-028	
127	3.5e-002	0.2655	-2.9097e-028	
128	3.e-002	0.2655	-2.9097e-028	
129	2.5e-002	0.2655	-2.9097e-028	
130	2.e-002	0.2655	-2.9097e-028	
131	1.5e-002	0.2655	-2.9097e-028	
132	1.e-002	0.2655	-2.9097e-028	
133	5.e-003	0.2655	-2.9097e-028	
134	3.3393e-017	0.2655	-2.9097e-028	
135	-5.e-003	0.2655	-2.9097e-028	
136	6.5e-002	0.2605	-2.8268e-028	
137	6.e-002	0.2605	-2.8268e-028	
138	5.5e-002	0.2605	-2.8268e-028	
139	5.e-002	0.2605	-2.8268e-028	
140	4.5e-002	0.2605	-2.8268e-028	
141	4.e-002	0.2605	-2.8268e-028	
142	3.5e-002	0.2605	-2.8268e-028	
143	3.e-002	0.2605	-2.8268e-028	
144	2.5e-002	0.2605	-2.8268e-028	
145	2.e-002	0.2605	-2.8268e-028	
146	1.5e-002	0.2605	-2.8268e-028	
147	1.e-002	0.2605	-2.8268e-028	
148	5.e-003	0.2605	-2.8268e-028	
149	3.3827e-017	0.2605	-2.8268e-028	
150	-5.e-003	0.2605	-2.8268e-028	
151	6.5e-002	0.2555	-2.744e-028	
152	6.e-002	0.2555	-2.744e-028	
153	5.5e-002	0.2555	-2.744e-028	
154	5.e-002	0.2555	-2.744e-028	
155	4.5e-002	0.2555	-2.744e-028	
156	4.e-002	0.2555	-2.744e-028	
157	3.5e-002	0.2555	-2.744e-028	
158	3.e-002	0.2555	-2.744e-028	
159	2.5e-002	0.2555	-2.744e-028	
160	2.e-002	0.2555	-2.744e-028	
161	1.5e-002	0.2555	-2.744e-028	
162	1.e-002	0.2555	-2.744e-028	
163	5.e-003	0.2555	-2.744e-028	
164	-1.3054e-016	0.2555	-2.744e-028	
165	-5.e-003	0.2555	-2.744e-028	
166	6.5e-002	0.2505	-2.6612e-028	
167	6.e-002	0.2505	-2.6612e-028	
168	5.5e-002	0.2505	-2.6612e-028	
169	5.e-002	0.2505	-2.6612e-028	
170	4.5e-002	0.2505	-2.6612e-028	
171	4.e-002	0.2505	-2.6612e-028	
172	3.5e-002	0.2505	-2.6612e-028	
173	3.e-002	0.2505	-2.6612e-028	
174	2.5e-002	0.2505	-2.6612e-028	
175	2.e-002	0.2505	-2.6612e-028	
176	1.5e-002	0.2505	-2.6612e-028	
177	1.e-002	0.2505	-2.6612e-028	
178	5.e-003	0.2505	-2.6612e-028	
179	3.3827e-017	0.2505	-2.6612e-028	
180	-5.e-003	0.2505	-2.6612e-028	
181	6.5e-002	0.2455	-2.5783e-028	
182	6.e-002	0.2455	-2.5783e-028	
183	5.5e-002	0.2455	-2.5783e-028	
184	5.e-002	0.2455	-2.5783e-028	
185	4.5e-002	0.2455	-2.5783e-028	
186	4.e-002	0.2455	-2.5783e-028	
187	3.5e-002	0.2455	-2.5783e-028	
188	3.e-002	0.2455	-2.5783e-028	
189	2.5e-002	0.2455	-2.5783e-028	
190	2.e-002	0.2455	-2.5783e-028	
191	1.5e-002	0.2455	-2.5783e-028	
192	1.e-002	0.2455	-2.5783e-028	
193	5.e-003	0.2455	-2.5783e-028	
194	3.4694e-017	0.2455	-2.5783e-028	
195	-5.e-003	0.2455	-2.5783e-028	
196	6.5e-002	0.2405	-2.4955e-028	
197	6.e-002	0.2405	-2.4955e-028	
198	5.5e-002	0.2405	-2.4955e-028	
199	5.e-002	0.2405	-2.4955e-028	
200	4.5e-002	0.2405	-2.4955e-028	
201	4.e-002	0.2405	-2.4955e-028	
202	3.5e-002	0.2405	-2.4955e-028	
203	3.e-002	0.2405	-2.4955e-028	
204	2.5e-002	0.2405	-2.4955e-028	
205	2.e-002	0.2405	-2.4955e-028	
206	1.5e-002	0.2405	-2.4955e-028	
207	1.e-002	0.2405	-2.4955e-028	
208	5.e-003	0.2405	-2.4955e-028	
209	3.3393e-017	0.2405	-2.4955e-028	
210	-5.e-003	0.2405	-2.4955e-028	
211	6.5e-002	0.2355	-2.4127e-028	
212	6.e-002	0.2355	-2.4127e-028	
213	5.5e-002	0.2355	-2.4127e-028	
214	5.e-002	0.2355	-2.4127e-028	
215	4.5e-002	0.2355	-2.4127e-028	
216	4.e-002	0.2355	-2.4127e-028	
217	3.5e-002	0.2355	-2.4127e-028	
218	3.e-002	0.2355	-2.4127e-028	
219	2.5e-002	0.2355	-2.4127e-028	
220	2.e-002	0.2355	-2.4127e-028	
221	1.5e-002	0.2355	-2.4127e-028	
222	1.e-002	0.2355	-2.4127e-028	
223	5.e-003	0.2355	-2.4127e-028	
224	3.3827e-017	0.2355	-2.4127e-028	
225	-5.e-003	0.2355	-2.4127e-028	
226	6.5e-002	0.2305	-2.3299e-028	
227	6.e-002	0.2305	-2.3299e-028	
228	5.5e-002	0.2305	-2.3299e-028	
229	5.e-002	0.2305	-2.3299e-028	
230	4.5e-002	0.2305	-2.3299e-028	
231	4.e-002	0.2305	-2.3299e-028	
232	3.5e-002	0.2305	-2.3299e-028	
233	3.e-002	0.2305	-2.3299e-028	
234	2.5e-002	0.2305	-2.3299e-028	
235	2.e-002	0.2305	-2.3299e-028	
236	1.5e-002	0.2305	-2.3299e-028	
237	1.e-002	0.2305	-2.3299e-028	
238	5.e-003	0.2305	-2.3299e-028	
239	-1.3054e-016	0.2305	-2.3299e-028	
240	-5.e-003	0.2305	-2.3299e-028	
241	6.5e-002	0.2255	-2.247e-028	
242	6.e-002	0.2255	-2.247e-028	
243	5.5e-002	0.2255	-2.247e-028	
244	5.e-002	0.2255	-2.247e-028	
245	4.5e-002	0.2255	-2.247e-028	
246	4.e-002	0.2255	-2.247e-028	
247	3.5e-002	0.2255	-2.247e-028	
248	3.e-002	0.2255	-2.247e-028	
249	2.5e-002	0.2255	-2.247e-028	
250	2.e-002	0.2255	-2.247e-028	
251	1.5e-002	0.2255	-2.247e-028	
