train_config,load,season,health,variable,num_nodes
0,0,0,0,0,25041
0,0,0,0,1,25041
0,0,0,0,2,25041
0,0,0,0,3,25041
0,0,0,0,4,24366
0,0,0,0,5,24366
0,0,0,0,6,24366
0,0,0,0,7,24366
0,0,0,1,0,25041
0,0,0,1,1,25041
0,0,0,1,2,25041
0,0,0,1,3,25041
0,0,0,1,4,24366
0,0,0,1,5,24366
0,0,0,1,6,24366
0,0,0,1,7,24366
0,0,0,2,0,25041
0,0,0,2,1,25041
0,0,0,2,2,25041
0,0,0,2,3,25041
0,0,0,2,4,24366
0,0,0,2,5,24366
0,0,0,2,6,24366
0,0,0,2,7,24366
0,0,0,3,0,25041
0,0,0,3,1,25041
0,0,0,3,2,25041
0,0,0,3,3,25041
0,0,0,3,4,24366
0,0,0,3,5,24366
0,0,0,3,6,24366
0,0,0,3,7,24366
0,0,0,4,0,25041
0,0,0,4,1,25041
0,0,0,4,2,25041
0,0,0,4,3,25041
0,0,0,4,4,24366
0,0,0,4,5,24366
0,0,0,4,6,24366
0,0,0,4,7,24366
0,0,0,5,0,25041
0,0,0,5,1,25041
0,0,0,5,2,25041
0,0,0,5,3,25041
0,0,0,5,4,24366
0,0,0,5,5,24366
0,0,0,5,6,24366
0,0,0,5,7,24366
0,0,0,6,0,25041
0,0,0,6,1,25041
0,0,0,6,2,25041
0,0,0,6,3,25041
0,0,0,6,4,24366
0,0,0,6,5,24366
0,0,0,6,6,24366
0,0,0,6,7,24366
0,0,1,0,0,25041
0,0,1,0,1,25041
0,0,1,0,2,25041
0,0,1,0,3,25041
0,0,1,0,4,24366
0,0,1,0,5,24366
0,0,1,0,6,24366
0,0,1,0,7,24366
0,0,1,1,0,25041
0,0,1,1,1,25041
0,0,1,1,2,25041
0,0,1,1,3,25041
0,0,1,1,4,24366
0,0,1,1,5,24366
0,0,1,1,6,24366
0,0,1,1,7,24366
0,0,1,2,0,25041
0,0,1,2,1,25041
0,0,1,2,2,25041
0,0,1,2,3,25041
0,0,1,2,4,24366
0,0,1,2,5,24366
0,0,1,2,6,24366
0,0,1,2,7,24366
0,0,1,3,0,25041
0,0,1,3,1,25041
0,0,1,3,2,25041
0,0,1,3,3,25041
0,0,1,3,4,24366
0,0,1,3,5,24366
0,0,1,3,6,24366
0,0,1,3,7,24366
0,0,1,4,0,25041
0,0,1,4,1,25041
0,0,1,4,2,25041
0,0,1,4,3,25041
0,0,1,4,4,24366
0,0,1,4,5,24366
0,0,1,4,6,24366
0,0,1,4,7,24366
0,0,1,5,0,25041
0,0,1,5,1,25041
0,0,1,5,2,25041
0,0,1,5,3,25041
0,0,1,5,4,24366
0,0,1,5,5,24366
0,0,1,5,6,24366
0,0,1,5,7,24366
0,0,1,6,0,25041
0,0,1,6,1,25041
0,0,1,6,2,25041
0,0,1,6,3,25041
0,0,1,6,4,24366
0,0,1,6,5,24366
0,0,1,6,6,24366
0,0,1,6,7,24366
0,1,0,0,0,25041
0,1,0,0,1,25041
0,1,0,0,2,25041
0,1,0,0,3,25041
0,1,0,0,4,24366
0,1,0,0,5,24366
0,1,0,0,6,24366
0,1,0,0,7,24366
0,1,0,1,0,25041
0,1,0,1,1,25041
0,1,0,1,2,25041
0,1,0,1,3,25041
0,1,0,1,4,24366
0,1,0,1,5,24366
0,1,0,1,6,24366
0,1,0,1,7,24366
0,1,0,2,0,25041
0,1,0,2,1,25041
0,1,0,2,2,25041
0,1,0,2,3,25041
0,1,0,2,4,24366
0,1,0,2,5,24366
0,1,0,2,6,24366
0,1,0,2,7,24366
0,1,0,3,0,25041
0,1,0,3,1,25041
0,1,0,3,2,25041
0,1,0,3,3,25041
0,1,0,3,4,24366
0,1,0,3,5,24366
0,1,0,3,6,24366
0,1,0,3,7,24366
0,1,0,4,0,25041
0,1,0,4,1,25041
0,1,0,4,2,25041
0,1,0,4,3,25041
0,1,0,4,4,24366
0,1,0,4,5,24366
0,1,0,4,6,24366
0,1,0,4,7,24366
0,1,0,5,0,25041
0,1,0,5,1,25041
0,1,0,5,2,25041
0,1,0,5,3,25041
0,1,0,5,4,24366
0,1,0,5,5,24366
0,1,0,5,6,24366
0,1,0,5,7,24366
0,1,0,6,0,25041
0,1,0,6,1,25041
0,1,0,6,2,25041
0,1,0,6,3,25041
0,1,0,6,4,24366
0,1,0,6,5,24366
0,1,0,6,6,24366
0,1,0,6,7,24366
0,1,1,0,0,25041
0,1,1,0,1,25041
0,1,1,0,2,25041
0,1,1,0,3,25041
0,1,1,0,4,24366
0,1,1,0,5,24366
0,1,1,0,6,24366
0,1,1,0,7,24366
0,1,1,1,0,25041
0,1,1,1,1,25041
0,1,1,1,2,25041
0,1,1,1,3,25041
0,1,1,1,4,24366
0,1,1,1,5,24366
0,1,1,1,6,24366
0,1,1,1,7,24366
0,1,1,2,0,25041
0,1,1,2,1,25041
0,1,1,2,2,25041
0,1,1,2,3,25041
0,1,1,2,4,24366
0,1,1,2,5,24366
0,1,1,2,6,24366
0,1,1,2,7,24366
0,1,1,3,0,25041
0,1,1,3,1,25041
0,1,1,3,2,25041
0,1,1,3,3,25041
0,1,1,3,4,24366
0,1,1,3,5,24366
0,1,1,3,6,24366
0,1,1,3,7,24366
0,1,1,4,0,25041
0,1,1,4,1,25041
0,1,1,4,2,25041
0,1,1,4,3,25041
0,1,1,4,4,24366
0,1,1,4,5,24366
0,1,1,4,6,24366
0,1,1,4,7,24366
0,1,1,5,0,25041
0,1,1,5,1,25041
0,1,1,5,2,25041
0,1,1,5,3,25041
0,1,1,5,4,24366
0,1,1,5,5,24366
0,1,1,5,6,24366
0,1,1,5,7,24366
0,1,1,6,0,25041
0,1,1,6,1,25041
0,1,1,6,2,25041
0,1,1,6,3,25041
0,1,1,6,4,24366
0,1,1,6,5,24366
0,1,1,6,6,24366
0,1,1,6,7,24366
1,0,0,0,0,2210
1,0,0,0,1,2210
1,0,0,0,2,2210
1,0,0,0,3,2210
1,0,0,0,4,2210
1,0,0,0,5,2210
1,0,0,0,6,2210
1,0,0,0,7,2210
1,0,0,1,0,2210
1,0,0,1,1,2210
1,0,0,1,2,2210
1,0,0,1,3,2210
1,0,0,1,4,24366
1,0,0,1,5,2210
1,0,0,1,6,2210
1,0,0,1,7,2210
1,0,0,2,0,25041
1,0,0,2,1,25041
1,0,0,2,2,25041
1,0,0,2,3,25041
1,0,0,2,4,24366
1,0,0,2,5,24366
1,0,0,2,6,24366
1,0,0,2,7,24366
1,0,0,3,0,2210
1,0,0,3,1,2210
1,0,0,3,2,2210
1,0,0,3,3,2210
1,0,0,3,4,2210
1,0,0,3,5,2210
1,0,0,3,6,2210
1,0,0,3,7,2210
1,0,0,4,0,2210
1,0,0,4,1,2210
1,0,0,4,2,2210
1,0,0,4,3,2210
1,0,0,4,4,2210
1,0,0,4,5,2210
1,0,0,4,6,2210
1,0,0,4,7,2210
1,0,0,5,0,2210
1,0,0,5,1,2210
1,0,0,5,2,2210
1,0,0,5,3,2210
1,0,0,5,4,2210
1,0,0,5,5,2210
1,0,0,5,6,2210
1,0,0,5,7,2210
1,0,0,6,0,2210
1,0,0,6,1,2210
1,0,0,6,2,2210
1,0,0,6,3,2210
1,0,0,6,4,2210
1,0,0,6,5,2210
1,0,0,6,6,2210
1,0,0,6,7,2210
1,0,1,0,0,2210
1,0,1,0,1,2210
1,0,1,0,2,2210
1,0,1,0,3,2210
1,0,1,0,4,2210
1,0,1,0,5,2210
1,0,1,0,6,2210
1,0,1,0,7,2210
1,0,1,1,0,2210
1,0,1,1,1,2210
1,0,1,1,2,2210
1,0,1,1,3,2210
1,0,1,1,4,2210
1,0,1,1,5,2210
1,0,1,1,6,2210
1,0,1,1,7,2210
1,0,1,2,0,2210
1,0,1,2,1,2210
1,0,1,2,2,2210
1,0,1,2,3,2210
1,0,1,2,4,2210
1,0,1,2,5,2210
1,0,1,2,6,2210
1,0,1,2,7,2210
1,0,1,3,0,2210
1,0,1,3,1,2210
1,0,1,3,2,2210
1,0,1,3,3,2210
1,0,1,3,4,2210
1,0,1,3,5,2210
1,0,1,3,6,2210
1,0,1,3,7,2210
1,0,1,4,0,2210
1,0,1,4,1,2210
1,0,1,4,2,2210
1,0,1,4,3,2210
1,0,1,4,4,2210
1,0,1,4,5,2210
1,0,1,4,6,2210
1,0,1,4,7,2210
1,0,1,5,0,2210
1,0,1,5,1,2210
1,0,1,5,2,2210
1,0,1,5,3,2210
1,0,1,5,4,2210
1,0,1,5,5,2210
1,0,1,5,6,2210
1,0,1,5,7,2210
1,0,1,6,0,2210
1,0,1,6,1,2210
1,0,1,6,2,2210
1,0,1,6,3,2210
1,0,1,6,4,2210
1,0,1,6,5,2210
1,0,1,6,6,2210
1,0,1,6,7,2210
1,1,0,0,0,2210
1,1,0,0,1,2210
1,1,0,0,2,2210
1,1,0,0,3,2210
1,1,0,0,4,2210
1,1,0,0,5,2210
1,1,0,0,6,2210
1,1,0,0,7,2210
1,1,0,1,0,2210
1,1,0,1,1,2210
1,1,0,1,2,2210
1,1,0,1,3,2210
1,1,0,1,4,2210
1,1,0,1,5,2210
1,1,0,1,6,2210
1,1,0,1,7,2210
1,1,0,2,0,2210
1,1,0,2,1,2210
1,1,0,2,2,2210
1,1,0,2,3,2210
1,1,0,2,4,2210
1,1,0,2,5,2210
1,1,0,2,6,2210
1,1,0,2,7,2210
1,1,0,3,0,2210
1,1,0,3,1,2210
1,1,0,3,2,2210
1,1,0,3,3,2210
1,1,0,3,4,2210
1,1,0,3,5,2210
1,1,0,3,6,2210
1,1,0,3,7,2210
1,1,0,4,0,2210
1,1,0,4,1,2210
1,1,0,4,2,2210
1,1,0,4,3,2210
1,1,0,4,4,2210
1,1,0,4,5,2210
1,1,0,4,6,2210
1,1,0,4,7,2210
1,1,0,5,0,2210
1,1,0,5,1,2210
1,1,0,5,2,2210
1,1,0,5,3,2210
1,1,0,5,4,2210
1,1,0,5,5,2210
1,1,0,5,6,2210
1,1,0,5,7,2210
1,1,0,6,0,25041
1,1,0,6,1,25041
1,1,0,6,2,25041
1,1,0,6,3,25041
1,1,0,6,4,24366
1,1,0,6,5,24366
1,1,0,6,6,24366
1,1,0,6,7,24366
1,1,1,0,0,2210
1,1,1,0,1,2210
1,1,1,0,2,2210
1,1,1,0,3,2210
1,1,1,0,4,2210
1,1,1,0,5,2210
1,1,1,0,6,2210
1,1,1,0,7,2210
1,1,1,1,0,2210
1,1,1,1,1,2210
1,1,1,1,2,2210
1,1,1,1,3,2210
1,1,1,1,4,2210
1,1,1,1,5,2210
1,1,1,1,6,2210
1,1,1,1,7,2210
1,1,1,2,0,2210
1,1,1,2,1,2210
1,1,1,2,2,2210
1,1,1,2,3,2210
1,1,1,2,4,2210
1,1,1,2,5,2210
1,1,1,2,6,2210
1,1,1,2,7,2210
1,1,1,3,0,2210
1,1,1,3,1,2210
1,1,1,3,2,2210
1,1,1,3,3,2210
1,1,1,3,4,2210
1,1,1,3,5,2210
1,1,1,3,6,2210
1,1,1,3,7,2210
1,1,1,4,0,2210
1,1,1,4,1,2210
1,1,1,4,2,2210
1,1,1,4,3,2210
1,1,1,4,4,2210
1,1,1,4,5,2210
1,1,1,4,6,2210
1,1,1,4,7,2210
1,1,1,5,0,2210
1,1,1,5,1,2210
1,1,1,5,2,2210
1,1,1,5,3,2210
1,1,1,5,4,2210
1,1,1,5,5,2210
1,1,1,5,6,2210
1,1,1,5,7,2210
1,1,1,6,0,2210
1,1,1,6,1,2210
1,1,1,6,2,2210
1,1,1,6,3,2210
1,1,1,6,4,2210
1,1,1,6,5,2210
1,1,1,6,6,2210
1,1,1,6,7,2210
2,0,0,0,0,2210
2,0,0,0,1,2210
2,0,0,0,2,2210
2,0,0,0,3,2210
2,0,0,0,4,2210
2,0,0,0,5,2210
2,0,0,0,6,2210
2,0,0,0,7,2210
2,0,0,1,0,2210
2,0,0,1,1,2210
2,0,0,1,2,2210
2,0,0,1,3,2210
2,0,0,1,4,2210
2,0,0,1,5,2210
2,0,0,1,6,2210
2,0,0,1,7,2210
2,0,0,2,0,2210
2,0,0,2,1,2210
2,0,0,2,2,2210
2,0,0,2,3,2210
2,0,0,2,4,2210
2,0,0,2,5,2210
2,0,0,2,6,2210
2,0,0,2,7,2210
2,0,0,3,0,2210
2,0,0,3,1,2210
2,0,0,3,2,2210
2,0,0,3,3,2210
2,0,0,3,4,2210
2,0,0,3,5,2210
2,0,0,3,6,2210
2,0,0,3,7,2210
2,0,0,4,0,2210
2,0,0,4,1,2210
2,0,0,4,2,2210
2,0,0,4,3,2210
2,0,0,4,4,2210
2,0,0,4,5,2210
2,0,0,4,6,2210
2,0,0,4,7,2210
2,0,0,5,0,2210
2,0,0,5,1,2210
2,0,0,5,2,2210
2,0,0,5,3,2210
2,0,0,5,4,2210
2,0,0,5,5,2210
2,0,0,5,6,2210
2,0,0,5,7,2210
2,0,0,6,0,2210
2,0,0,6,1,2210
2,0,0,6,2,2210
2,0,0,6,3,2210
2,0,0,6,4,2210
2,0,0,6,5,2210
2,0,0,6,6,2210
2,0,0,6,7,2210
2,0,1,0,0,2210
2,0,1,0,1,2210
2,0,1,0,2,2210
2,0,1,0,3,2210
2,0,1,0,4,2210
2,0,1,0,5,2210
2,0,1,0,6,2210
2,0,1,0,7,2210
2,0,1,1,0,2210
2,0,1,1,1,2210
2,0,1,1,2,2210
2,0,1,1,3,2210
2,0,1,1,4,2210
2,0,1,1,5,2210
2,0,1,1,6,2210
2,0,1,1,7,2210
2,0,1,2,0,2210
2,0,1,2,1,2210
2,0,1,2,2,2210
2,0,1,2,3,2210
2,0,1,2,4,2210
2,0,1,2,5,2210
2,0,1,2,6,2210
2,0,1,2,7,2210
2,0,1,3,0,2210
2,0,1,3,1,2210
2,0,1,3,2,2210
2,0,1,3,3,2210
2,0,1,3,4,2210
2,0,1,3,5,2210
2,0,1,3,6,2210
2,0,1,3,7,2210
2,0,1,4,0,25041
2,0,1,4,1,25041
2,0,1,4,2,25041
2,0,1,4,3,25041
2,0,1,4,4,24366
2,0,1,4,5,24366
2,0,1,4,6,24366
2,0,1,4,7,24366
2,0,1,5,0,2210
2,0,1,5,1,2210
2,0,1,5,2,2210
2,0,1,5,3,2210
2,0,1,5,4,2210
2,0,1,5,5,2210
2,0,1,5,6,2210
2,0,1,5,7,2210
2,0,1,6,0,2210
2,0,1,6,1,2210
2,0,1,6,2,2210
2,0,1,6,3,2210
2,0,1,6,4,2210
2,0,1,6,5,2210
2,0,1,6,6,2210
2,0,1,6,7,2210
2,1,0,0,0,2210
2,1,0,0,1,2210
2,1,0,0,2,2210
2,1,0,0,3,2210
2,1,0,0,4,2210
2,1,0,0,5,2210
2,1,0,0,6,2210
2,1,0,0,7,2210
2,1,0,1,0,2210
2,1,0,1,1,2210
2,1,0,1,2,2210
2,1,0,1,3,2210
2,1,0,1,4,2210
2,1,0,1,5,2210
2,1,0,1,6,2210
2,1,0,1,7,2210
2,1,0,2,0,2210
2,1,0,2,1,2210
2,1,0,2,2,2210
2,1,0,2,3,2210
2,1,0,2,4,2210
2,1,0,2,5,2210
2,1,0,2,6,2210
2,1,0,2,7,2210
2,1,0,3,0,2210
2,1,0,3,1,2210
2,1,0,3,2,2210
2,1,0,3,3,2210
2,1,0,3,4,2210
2,1,0,3,5,2210
2,1,0,3,6,2210
2,1,0,3,7,2210
2,1,0,4,0,2210
2,1,0,4,1,2210
2,1,0,4,2,2210
2,1,0,4,3,2210
2,1,0,4,4,2210
2,1,0,4,5,2210
2,1,0,4,6,2210
2,1,0,4,7,2210
2,1,0,5,0,2210
2,1,0,5,1,2210
2,1,0,5,2,2210
2,1,0,5,3,2210
2,1,0,5,4,2210
2,1,0,5,5,2210
2,1,0,5,6,2210
2,1,0,5,7,2210
2,1,0,6,0,2210
2,1,0,6,1,2210
2,1,0,6,2,2210
2,1,0,6,3,2210
2,1,0,6,4,2210
2,1,0,6,5,2210
2,1,0,6,6,2210
2,1,0,6,7,2210
2,1,1,0,0,2210
2,1,1,0,1,2210
2,1,1,0,2,2210
2,1,1,0,3,2210
2,1,1,0,4,2210
2,1,1,0,5,2210
2,1,1,0,6,2210
2,1,1,0,7,2210
2,1,1,1,0,2210
2,1,1,1,1,2210
2,1,1,1,2,2210
2,1,1,1,3,2210
2,1,1,1,4,2210
2,1,1,1,5,2210
2,1,1,1,6,2210
2,1,1,1,7,2210
2,1,1,2,0,2210
2,1,1,2,1,2210
2,1,1,2,2,2210
2,1,1,2,3,2210
2,1,1,2,4,2210
2,1,1,2,5,2210
2,1,1,2,6,2210
2,1,1,2,7,2210
2,1,1,3,0,2210
2,1,1,3,1,2210
2,1,1,3,2,2210
2,1,1,3,3,2210
2,1,1,3,4,2210
2,1,1,3,5,2210
2,1,1,3,6,2210
2,1,1,3,7,2210
2,1,1,4,0,2210
2,1,1,4,1,2210
2,1,1,4,2,2210
2,1,1,4,3,2210
2,1,1,4,4,2210
2,1,1,4,5,2210
2,1,1,4,6,2210
2,1,1,4,7,2210
2,1,1,5,0,2210
2,1,1,5,1,2210
2,1,1,5,2,2210
2,1,1,5,3,2210
2,1,1,5,4,2210
2,1,1,5,5,2210
2,1,1,5,6,2210
2,1,1,5,7,2210
2,1,1,6,0,2210
2,1,1,6,1,2210
2,1,1,6,2,2210
2,1,1,6,3,2210
2,1,1,6,4,2210
2,1,1,6,5,2210
2,1,1,6,6,2210
2,1,1,6,7,2210
3,0,0,0,0,2210
3,0,0,0,1,2210
3,0,0,0,2,2210
3,0,0,0,3,2210
3,0,0,0,4,2210
3,0,0,0,5,2210
3,0,0,0,6,2210
3,0,0,0,7,2210
3,0,0,1,0,2210
3,0,0,1,1,2210
3,0,0,1,2,2210
3,0,0,1,3,2210
3,0,0,1,4,2210
3,0,0,1,5,2210
3,0,0,1,6,2210
3,0,0,1,7,2210
3,0,0,2,0,25041
3,0,0,2,1,25041
3,0,0,2,2,25041
3,0,0,2,3,25041
3,0,0,2,4,24366
3,0,0,2,5,24366
3,0,0,2,6,24366
3,0,0,2,7,24366
3,0,0,3,0,2210
3,0,0,3,1,2210
3,0,0,3,2,2210
3,0,0,3,3,2210
3,0,0,3,4,2210
3,0,0,3,5,2210
3,0,0,3,6,2210
3,0,0,3,7,2210
3,0,0,4,0,2210
3,0,0,4,1,2210
3,0,0,4,2,2210
3,0,0,4,3,2210
3,0,0,4,4,2210
3,0,0,4,5,2210
3,0,0,4,6,2210
3,0,0,4,7,2210
3,0,0,5,0,2210
3,0,0,5,1,2210
3,0,0,5,2,2210
3,0,0,5,3,2210
3,0,0,5,4,2210
3,0,0,5,5,2210
3,0,0,5,6,2210
3,0,0,5,7,2210
3,0,0,6,0,2210
3,0,0,6,1,2210
3,0,0,6,2,2210
3,0,0,6,3,2210
3,0,0,6,4,2210
3,0,0,6,5,2210
3,0,0,6,6,2210
3,0,0,6,7,2210
3,0,1,0,0,2210
3,0,1,0,1,2210
3,0,1,0,2,2210
3,0,1,0,3,2210
3,0,1,0,4,2210
3,0,1,0,5,2210
3,0,1,0,6,2210
3,0,1,0,7,2210
3,0,1,1,0,2210
3,0,1,1,1,2210
3,0,1,1,2,2210
3,0,1,1,3,2210
3,0,1,1,4,2210
3,0,1,1,5,2210
3,0,1,1,6,2210
3,0,1,1,7,2210
3,0,1,2,0,25041
3,0,1,2,1,25041
3,0,1,2,2,25041
3,0,1,2,3,25041
3,0,1,2,4,24366
3,0,1,2,5,24366
3,0,1,2,6,24366
3,0,1,2,7,24366
3,0,1,3,0,2210
3,0,1,3,1,2210
3,0,1,3,2,2210
3,0,1,3,3,2210
3,0,1,3,4,2210
3,0,1,3,5,2210
3,0,1,3,6,2210
3,0,1,3,7,2210
3,0,1,4,0,2210
3,0,1,4,1,2210
3,0,1,4,2,2210
3,0,1,4,3,2210
3,0,1,4,4,2210
3,0,1,4,5,2210
3,0,1,4,6,2210
3,0,1,4,7,2210
3,0,1,5,0,2210
3,0,1,5,1,2210
3,0,1,5,2,2210
3,0,1,5,3,2210
3,0,1,5,4,2210
3,0,1,5,5,2210
3,0,1,5,6,2210
3,0,1,5,7,2210
3,0,1,6,0,2210
3,0,1,6,1,2210
3,0,1,6,2,2210
3,0,1,6,3,2210
3,0,1,6,4,2210
3,0,1,6,5,2210
3,0,1,6,6,2210
3,0,1,6,7,2210
3,1,0,0,0,2210
3,1,0,0,1,2210
3,1,0,0,2,2210
3,1,0,0,3,2210
3,1,0,0,4,2210
3,1,0,0,5,2210
3,1,0,0,6,2210
3,1,0,0,7,2210
3,1,0,1,0,25041
3,1,0,1,1,25041
3,1,0,1,2,25041
3,1,0,1,3,25041
3,1,0,1,4,24366
3,1,0,1,5,24366
3,1,0,1,6,24366
3,1,0,1,7,24366
3,1,0,2,0,25041
3,1,0,2,1,25041
3,1,0,2,2,25041
3,1,0,2,3,25041
3,1,0,2,4,24366
3,1,0,2,5,24366
3,1,0,2,6,24366
3,1,0,2,7,24366
3,1,0,3,0,25041
3,1,0,3,1,25041
3,1,0,3,2,25041
3,1,0,3,3,25041
3,1,0,3,4,24366
3,1,0,3,5,24366
3,1,0,3,6,24366
3,1,0,3,7,24366
3,1,0,4,0,25041
3,1,0,4,1,25041
3,1,0,4,2,25041
3,1,0,4,3,25041
3,1,0,4,4,24366
3,1,0,4,5,24366
3,1,0,4,6,24366
3,1,0,4,7,24366
3,1,0,5,0,25041
3,1,0,5,1,25041
3,1,0,5,2,25041
3,1,0,5,3,25041
3,1,0,5,4,24366
3,1,0,5,5,24366
3,1,0,5,6,24366
3,1,0,5,7,24366
3,1,0,6,0,2210
3,1,0,6,1,2210
3,1,0,6,2,2210
3,1,0,6,3,2210
3,1,0,6,4,2210
3,1,0,6,5,2210
3,1,0,6,6,2210
3,1,0,6,7,2210
3,1,1,0,0,2210
3,1,1,0,1,2210
3,1,1,0,2,2210
3,1,1,0,3,2210
3,1,1,0,4,2210
3,1,1,0,5,2210
3,1,1,0,6,2210
3,1,1,0,7,2210
3,1,1,1,0,25041
3,1,1,1,1,25041
3,1,1,1,2,25041
3,1,1,1,3,25041
3,1,1,1,4,24366
3,1,1,1,5,24366
3,1,1,1,6,24366
3,1,1,1,7,24366
3,1,1,2,0,25041
3,1,1,2,1,25041
3,1,1,2,2,25041
3,1,1,2,3,25041
3,1,1,2,4,24366
3,1,1,2,5,24366
3,1,1,2,6,24366
3,1,1,2,7,24366
3,1,1,3,0,25041
3,1,1,3,1,25041
3,1,1,3,2,25041
3,1,1,3,3,25041
3,1,1,3,4,24366
3,1,1,3,5,24366
3,1,1,3,6,24366
3,1,1,3,7,24366
3,1,1,4,0,25041
3,1,1,4,1,25041
3,1,1,4,2,25041
3,1,1,4,3,25041
3,1,1,4,4,24366
3,1,1,4,5,24366
3,1,1,4,6,24366
3,1,1,4,7,24366
3,1,1,5,0,2210
3,1,1,5,1,2210
3,1,1,5,2,2210
3,1,1,5,3,2210
3,1,1,5,4,2210
3,1,1,5,5,2210
3,1,1,5,6,2210
3,1,1,5,7,2210
3,1,1,6,0,25041
3,1,1,6,1,25041
3,1,1,6,2,25041
3,1,1,6,3,25041
3,1,1,6,4,24366
3,1,1,6,5,24366
3,1,1,6,6,24366
3,1,1,6,7,24366
