Beam	Node	X	Y	Z
Beam_155	25150	0.019	0.1918	0.016529
Beam_155	25151	0.0	0.1918	0.016529
Beam_155	25152	0.01425	0.1918	0.016529
Beam_155	25153	0.0095	0.1918	0.016529
Beam_155	25154	0.00475	0.1918	0.016529
Beam_158	25177	0.039	0.1918	0.016529
Beam_158	25178	0.02	0.1918	0.016529
Beam_158	25179	0.03425	0.1918	0.016529
Beam_158	25180	0.0295	0.1918	0.016529
Beam_158	25181	0.02475	0.1918	0.016529
Beam_161	25186	0.059	0.1918	0.016529
Beam_161	25187	0.04	0.1918	0.016529
Beam_161	25188	0.05425	0.1918	0.016529
Beam_161	25189	0.0495	0.1918	0.016529
Beam_161	25190	0.04475	0.1918	0.016529
Beam_164	25510	0.019	0.2918	0.016529
Beam_164	25511	0.0	0.2918	0.016529
Beam_164	25512	0.01425	0.2918	0.016529
Beam_164	25513	0.0095	0.2918	0.016529
Beam_164	25514	0.00475	0.2918	0.016529
Beam_167	25519	0.039	0.2918	0.016529
Beam_167	25520	0.02	0.2918	0.016529
Beam_167	25521	0.03425	0.2918	0.016529
Beam_167	25522	0.0295	0.2918	0.016529
Beam_167	25523	0.02475	0.2918	0.016529
Beam_170	25546	0.059	0.2918	0.016529
Beam_170	25547	0.04	0.2918	0.016529
Beam_170	25548	0.05425	0.2918	0.016529
Beam_170	25549	0.0495	0.2918	0.016529
Beam_170	25550	0.04475	0.2918	0.016529
Beam_119	24700	0.019	0.014802	0.020937
Beam_119	24701	0.0	0.014802	0.020937
Beam_119	24702	0.01425	0.014802	0.020937
Beam_119	24703	0.0095	0.014802	0.020937
Beam_119	24704	0.00475	0.014802	0.020937
Beam_122	24691	0.039	0.014802	0.020937
Beam_122	24692	0.02	0.014802	0.020937
Beam_122	24693	0.03425	0.014802	0.020937
Beam_122	24694	0.0295	0.014802	0.020937
Beam_122	24695	0.02475	0.014802	0.020937
Beam_125	24709	0.059	0.014802	0.020937
Beam_125	24710	0.04	0.014802	0.020937
Beam_125	24711	0.05425	0.014802	0.020937
Beam_125	24712	0.0495	0.014802	0.020937
Beam_125	24713	0.04475	0.014802	0.020937
Beam_128	24808	0.019	0.1148	0.020937
Beam_128	24809	0.0	0.1148	0.020937
Beam_128	24810	0.01425	0.1148	0.020937
Beam_128	24811	0.0095	0.1148	0.020937
Beam_128	24812	0.00475	0.1148	0.020937
Beam_131	24889	0.039	0.1148	0.020937
Beam_131	24890	0.02	0.1148	0.020937
Beam_131	24891	0.03425	0.1148	0.020937
Beam_131	24892	0.0295	0.1148	0.020937
Beam_131	24893	0.02475	0.1148	0.020937
Beam_134	24916	0.059	0.1148	0.020937
Beam_134	24917	0.04	0.1148	0.020937
Beam_134	24918	0.05425	0.1148	0.020937
Beam_134	24919	0.0495	0.1148	0.020937
Beam_134	24920	0.04475	0.1148	0.020937
Beam_137	25231	0.019	0.2148	0.020937
Beam_137	25232	0.0	0.2148	0.020937
Beam_137	25233	0.01425	0.2148	0.020937
Beam_137	25234	0.0095	0.2148	0.020937
Beam_137	25235	0.00475	0.2148	0.020937
Beam_140	25366	0.039	0.2148	0.020937
Beam_140	25367	0.02	0.2148	0.020937
Beam_140	25368	0.03425	0.2148	0.020937
Beam_140	25369	0.0295	0.2148	0.020937
Beam_140	25370	0.02475	0.2148	0.020937
Beam_143	25375	0.059	0.2148	0.020937
Beam_143	25376	0.04	0.2148	0.020937
Beam_143	25377	0.05425	0.2148	0.020937
Beam_143	25378	0.0495	0.2148	0.020937
Beam_143	25379	0.04475	0.2148	0.020937
Beam_200	24457	0.019	0.084804	0.021166
Beam_200	24458	0.0	0.084804	0.021166
Beam_200	24459	0.01425	0.084804	0.021166
Beam_200	24460	0.0095	0.084804	0.021166
Beam_200	24461	0.00475	0.084804	0.021166
Beam_203	24412	0.039	0.084804	0.021166
Beam_203	24413	0.02	0.084804	0.021166
Beam_203	24414	0.03425	0.084804	0.021166
Beam_203	24415	0.0295	0.084804	0.021166
Beam_203	24416	0.02475	0.084804	0.021166
Beam_206	24385	0.059	0.084804	0.021166
Beam_206	24386	0.04	0.084804	0.021166
Beam_206	24387	0.05425	0.084804	0.021166
Beam_206	24388	0.0495	0.084804	0.021166
Beam_206	24389	0.04475	0.084804	0.021166
Beam_209	25159	0.019	0.1848	0.021166
Beam_209	25160	0.0	0.1848	0.021166
Beam_209	25161	0.01425	0.1848	0.021166
Beam_209	25162	0.0095	0.1848	0.021166
Beam_209	25163	0.00475	0.1848	0.021166
Beam_212	25168	0.039	0.1848	0.021166
Beam_212	25169	0.02	0.1848	0.021166
Beam_212	25170	0.03425	0.1848	0.021166
Beam_212	25171	0.0295	0.1848	0.021166
Beam_212	25172	0.02475	0.1848	0.021166
Beam_215	25195	0.059	0.1848	0.021166
Beam_215	25196	0.04	0.1848	0.021166
Beam_215	25197	0.05425	0.1848	0.021166
Beam_215	25198	0.0495	0.1848	0.021166
Beam_215	25199	0.04475	0.1848	0.021166
Beam_218	25501	0.019	0.2848	0.021166
Beam_218	25502	0.0	0.2848	0.021166
Beam_218	25503	0.01425	0.2848	0.021166
Beam_218	25504	0.0095	0.2848	0.021166
Beam_218	25505	0.00475	0.2848	0.021166
Beam_221	25528	0.039	0.2848	0.021166
Beam_221	25529	0.02	0.2848	0.021166
Beam_221	25530	0.03425	0.2848	0.021166
Beam_221	25531	0.0295	0.2848	0.021166
Beam_221	25532	0.02475	0.2848	0.021166
Beam_224	25537	0.059	0.2848	0.021166
Beam_224	25538	0.04	0.2848	0.021166
Beam_224	25539	0.05425	0.2848	0.021166
Beam_224	25540	0.0495	0.2848	0.021166
Beam_224	25541	0.04475	0.2848	0.021166
Beam_173	24664	0.019	0.021802	0.024532
Beam_173	24665	0.0	0.021802	0.024532
Beam_173	24666	0.01425	0.021802	0.024532
Beam_173	24667	0.0095	0.021802	0.024532
Beam_173	24668	0.00475	0.021802	0.024532
Beam_176	24673	0.039	0.021802	0.024532
Beam_176	24674	0.02	0.021802	0.024532
Beam_176	24675	0.03425	0.021802	0.024532
Beam_176	24676	0.0295	0.021802	0.024532
Beam_176	24677	0.02475	0.021802	0.024532
Beam_179	24682	0.059	0.021802	0.024532
Beam_179	24683	0.04	0.021802	0.024532
Beam_179	24684	0.05425	0.021802	0.024532
Beam_179	24685	0.0495	0.021802	0.024532
Beam_179	24686	0.04475	0.021802	0.024532
Beam_182	24817	0.019	0.1218	0.024532
Beam_182	24818	0.0	0.1218	0.024532
Beam_182	24819	0.01425	0.1218	0.024532
Beam_182	24820	0.0095	0.1218	0.024532
Beam_182	24821	0.00475	0.1218	0.024532
Beam_185	24880	0.039	0.1218	0.024532
Beam_185	24881	0.02	0.1218	0.024532
Beam_185	24882	0.03425	0.1218	0.024532
Beam_185	24883	0.0295	0.1218	0.024532
Beam_185	24884	0.02475	0.1218	0.024532
Beam_188	24925	0.059	0.1218	0.024532
Beam_188	24926	0.04	0.1218	0.024532
Beam_188	24927	0.05425	0.1218	0.024532
Beam_188	24928	0.0495	0.1218	0.024532
Beam_188	24929	0.04475	0.1218	0.024532
Beam_191	25240	0.019	0.2218	0.024532
Beam_191	25241	0.0	0.2218	0.024532
Beam_191	25242	0.01425	0.2218	0.024532
Beam_191	25243	0.0095	0.2218	0.024532
Beam_191	25244	0.00475	0.2218	0.024532
Beam_194	25357	0.039	0.2218	0.024532
Beam_194	25358	0.02	0.2218	0.024532
Beam_194	25359	0.03425	0.2218	0.024532
Beam_194	25360	0.0295	0.2218	0.024532
Beam_194	25361	0.02475	0.2218	0.024532
Beam_197	25384	0.059	0.2218	0.024532
