Beam	Node	X	Y	Z
Beam_110	16396	0.017097	0.29382	0.015596
Beam_110	16367	0.0047591	0.29356	0.014523
Beam_110	16361	0.014241	0.29356	0.014523
Beam_110	16387	0.014241	0.29356	0.015807
Beam_110	16330	0.0056862	0.2958	0.012614
Beam_110	16392	0.013326	0.29581	0.013941
Beam_110	16414	0.0056863	0.2958	0.013944
Beam_110	16410	0.0019075	0.29381	0.015606
Beam_110	16357	0.013326	0.29581	0.012611
Beam_110	25573	0.019	0.29899	0.010367
Beam_110	16412	0.0018885	0.2968	0.013065
Beam_110	16398	0.0063377	0.29664	0.013211
Beam_110	16381	0.0047588	0.29356	0.015807
Beam_110	16328	0.0018883	0.2968	0.011712
Beam_110	16356	0.015215	0.2963	0.012167
Beam_110	16403	0.017428	0.29788	0.01207
Beam_110	16337	0.017428	0.29788	0.010691
Beam_110	16360	0.015829	0.29314	0.01486
Beam_110	16386	0.01583	0.29314	0.016135
Beam_110	16359	0.01741	0.29273	0.015189
Beam_110	16385	0.01741	0.29273	0.016457
Beam_110	16355	0.017116	0.2968	0.011711
Beam_110	16390	0.017116	0.2968	0.013064
Beam_110	16404	0.015843	0.29747	0.012457
Beam_110	16369	0.0015902	0.29273	0.015189
Beam_110	16391	0.015214	0.2963	0.013508
Beam_110	16338	0.015844	0.29747	0.011088
Beam_110	16411	0.0075949	0.2953	0.014373
Beam_110	16349	0.011422	0.29531	0.013051
Beam_110	16334	0.0019076	0.29381	0.014317
Beam_110	16402	0.0095141	0.29581	0.013942
Beam_110	25575	0.01425	0.29899	0.010367
Beam_110	16364	0.0095	0.2948	0.013486
Beam_110	16384	0.0095	0.2948	0.014794
Beam_110	16399	0.0047459	0.29705	0.012836
Beam_110	16345	0.0047454	0.29705	0.011477
Beam_110	25577	0.00475	0.29899	0.010367
Beam_110	16333	0.0038006	0.29431	0.013905
Beam_110	16409	0.0038004	0.29431	0.015203
Beam_110	16389	0.011076	0.29439	0.015136
Beam_110	16331	0.0075949	0.2953	0.013055
Beam_110	16363	0.011076	0.29439	0.013836
Beam_110	16341	0.011104	0.29622	0.012239
Beam_110	25576	0.0095	0.29899	0.010367
Beam_110	16393	0.011422	0.29531	0.01437
Beam_110	16365	0.007924	0.29439	0.013836
Beam_110	16379	0.0079238	0.29439	0.015136
Beam_110	16397	0.0079201	0.29622	0.013578
Beam_110	16343	0.0079199	0.29622	0.012239
Beam_110	16405	0.014268	0.29705	0.012836
Beam_110	16339	0.014269	0.29705	0.011477
Beam_110	16395	0.015208	0.29432	0.015195
Beam_110	16351	0.015208	0.29432	0.013897
Beam_110	16407	0.011103	0.29622	0.013578
Beam_110	16383	0.00159	0.29273	0.016457
Beam_110	16342	0.0095141	0.29581	0.012612
Beam_110	16388	0.012663	0.29397	0.015475
Beam_110	16394	0.013307	0.29481	0.014785
Beam_110	16406	0.012681	0.29664	0.013211
Beam_110	16346	0.0031658	0.29747	0.011088
Beam_110	16362	0.012663	0.29397	0.014183
Beam_110	16329	0.0037937	0.2963	0.012169
Beam_110	16380	0.0063372	0.29397	0.015475
Beam_110	16401	0.0015768	0.29788	0.01207
Beam_110	16350	0.013307	0.29481	0.013476
Beam_110	25574	0.0	0.29899	0.010367
Beam_110	16344	0.0063373	0.29664	0.011862
Beam_110	16366	0.0063375	0.29397	0.014183
Beam_110	16400	0.0031662	0.29747	0.012457
Beam_110	16340	0.012682	0.29664	0.011862
Beam_110	16408	0.0057053	0.29481	0.01479
Beam_110	16352	0.017097	0.29382	0.014307
Beam_110	16347	0.0015765	0.29788	0.010691
Beam_110	16382	0.0031705	0.29314	0.016135
Beam_110	16332	0.0057054	0.29481	0.013482
Beam_110	16368	0.0031707	0.29314	0.01486
Beam_110	16413	0.003794	0.2963	0.01351
Beam_218	19001	0.01521	0.28032	0.022993
Beam_218	19026	0.0075949	0.2813	0.023621
Beam_218	18995	0.011422	0.28131	0.022499
Beam_218	25502	0.0	0.2848	0.021166
Beam_218	19008	0.011422	0.28131	0.023619
Beam_218	19037	0.014248	0.27956	0.024464
Beam_218	18994	0.0023706	0.28368	0.021234
Beam_218	18976	0.011868	0.28018	0.023059
Beam_218	19015	0.0023706	0.28368	0.022377
Beam_218	25503	0.01425	0.2848	0.021166
Beam_218	19006	0.01521	0.28032	0.024105
Beam_218	19014	0.004755	0.28305	0.022716
Beam_218	18984	0.0075949	0.2813	0.022501
Beam_218	18993	0.0047549	0.28305	0.021579
Beam_218	19036	0.016619	0.27893	0.02475
Beam_218	19022	0.0057005	0.28081	0.023867
Beam_218	19017	0.0095141	0.28181	0.023367
Beam_218	18977	0.0095	0.2808	0.022753
Beam_218	19000	0.017101	0.27982	0.023233
Beam_218	18991	0.0095141	0.28181	0.022242
Beam_218	19005	0.017101	0.27982	0.02434
Beam_218	19018	0.016636	0.28368	0.022377
Beam_218	18987	0.001903	0.27981	0.023239
Beam_218	18988	0.016636	0.28368	0.021234
Beam_218	19024	0.0019029	0.27981	0.024346
Beam_218	25505	0.00475	0.2848	0.021166
Beam_218	18985	0.0057006	0.28081	0.022752
Beam_218	19007	0.013312	0.28081	0.023864
Beam_218	18986	0.0037986	0.28031	0.022998
Beam_218	19035	0.0095	0.2808	0.023869
Beam_218	25504	0.0095	0.2848	0.021166
Beam_218	19002	0.013312	0.28081	0.022748
Beam_218	19032	0.0047517	0.27956	0.024464
Beam_218	19033	0.0023813	0.27893	0.02475
Beam_218	18979	0.0047518	0.27956	0.023359
Beam_218	18980	0.0023813	0.27893	0.02365
Beam_218	19019	0.014259	0.28305	0.022716
Beam_218	18989	0.014259	0.28305	0.021579
Beam_218	19023	0.0037986	0.28031	0.024109
Beam_218	18978	0.0071317	0.28018	0.023059
Beam_218	18975	0.014248	0.27956	0.023359
Beam_218	19038	0.011868	0.28018	0.024169
Beam_218	18998	0.01711	0.2828	0.021715
Beam_218	19011	0.01711	0.2828	0.02285
Beam_218	19028	0.0037962	0.2823	0.023113
Beam_218	18982	0.0037961	0.2823	0.021983
Beam_218	19020	0.011893	0.28243	0.023044
Beam_218	19009	0.013321	0.28181	0.023367
Beam_218	18990	0.011893	0.28243	0.021914
Beam_218	19027	0.0018939	0.2828	0.02285
Beam_218	19029	0.0056915	0.2818	0.023369
Beam_218	18981	0.0018938	0.2828	0.021716
Beam_218	18997	0.015212	0.2823	0.021982
Beam_218	18996	0.013321	0.28181	0.022242
Beam_218	19010	0.015212	0.2823	0.023111
Beam_218	25501	0.019	0.2848	0.021166
Beam_218	18983	0.0056915	0.2818	0.022244
Beam_218	18974	0.016619	0.27893	0.02365
Beam_218	19031	0.0071316	0.28018	0.024169
