Name,Centroid_X,Centroid_Y,Centroid_Z
Body_20,0.03,0.1505,-0.001
Body_23,-0.0005,0.05,0.0163
Body_26,0.0195,0.05,0.0163
Body_29,0.0395,0.05,0.0163
Body_32,0.0595,0.05,0.0163
Body_35,-0.0005,0.15,0.0163
Body_38,0.0195,0.15,0.0163
Body_41,0.0395,0.15,0.0163
Body_44,0.0595,0.15,0.0163
Body_47,-0.0005,0.25,0.0163
Body_50,0.0195,0.25,0.0163
Body_53,0.0395,0.25,0.0163
Body_56,0.0595,0.25,0.0163
Body_59,0.029,0.0995,-0.027
Body_62,0.029,0.2005,-0.027
Body_65,0.0095,0.0043,0.0133
Body_68,0.0295,0.0043,0.0133
Body_71,0.0495,0.0043,0.0133
Body_74,0.0095,0.1043,0.0133
Body_77,0.0295,0.1043,0.0133
Body_80,0.0495,0.1043,0.0133
Body_83,0.0095,0.2043,0.0133
Body_86,0.0295,0.2043,0.0133
Body_89,0.0495,0.2043,0.0133
Body_92,0.0095,0.0953,0.0136
Body_95,0.0295,0.0953,0.0136
Body_98,0.0495,0.0953,0.0136
Body_101,0.0095,0.1953,0.0136
Body_104,0.0295,0.1953,0.0136
Body_107,0.0495,0.1953,0.0136
Body_110,0.0095,0.2953,0.0136
Body_113,0.0295,0.2953,0.0136
Body_116,0.0495,0.2953,0.0136
Body_119,0.0095,0.0113,0.0187
Body_122,0.0295,0.0113,0.0187
Body_125,0.0495,0.0113,0.0187
Body_128,0.0095,0.1113,0.0187
Body_131,0.0295,0.1113,0.0187
Body_134,0.0495,0.1113,0.0187
Body_137,0.0095,0.2113,0.0187
Body_140,0.0295,0.2113,0.0187
Body_143,0.0495,0.2113,0.0187
Body_146,0.0095,0.0883,0.019
Body_149,0.0295,0.0883,0.019
Body_152,0.0495,0.0883,0.019
Body_155,0.0095,0.1883,0.019
Body_158,0.0295,0.1883,0.019
Body_161,0.0495,0.1883,0.019
Body_164,0.0095,0.2883,0.019
Body_167,0.0295,0.2883,0.019
Body_170,0.0495,0.2883,0.019
Body_173,0.0095,0.0183,0.0228
Body_176,0.0295,0.0183,0.0228
Body_179,0.0495,0.0183,0.0228
Body_182,0.0095,0.1183,0.0228
Body_185,0.0295,0.1183,0.0228
Body_188,0.0495,0.1183,0.0228
Body_191,0.0095,0.2183,0.0228
Body_194,0.0295,0.2183,0.0228
Body_197,0.0495,0.2183,0.0228
Body_200,0.0095,0.0813,0.023
Body_203,0.0295,0.0813,0.023
Body_206,0.0495,0.0813,0.023
Body_209,0.0095,0.1813,0.023
Body_212,0.0295,0.1813,0.023
Body_215,0.0495,0.1813,0.023
Body_218,0.0095,0.2813,0.023
Body_221,0.0295,0.2813,0.023
Body_224,0.0495,0.2813,0.023
Body_227,0.0095,0.0253,0.0259
Body_230,0.0295,0.0253,0.0259
Body_233,0.0495,0.0253,0.0259
Body_236,0.0095,0.1253,0.0259
Body_239,0.0295,0.1253,0.0259
Body_242,0.0495,0.1253,0.0259
Body_245,0.0095,0.2253,0.0259
Body_248,0.0295,0.2253,0.0259
Body_251,0.0495,0.2253,0.0259
Body_254,0.0095,0.0743,0.0261
Body_257,0.0295,0.0743,0.0261
Body_260,0.0495,0.0743,0.0261
Body_263,0.0095,0.1743,0.0261
Body_266,0.0295,0.1743,0.0261
Body_269,0.0495,0.1743,0.0261
Body_272,0.0095,0.2743,0.0261
Body_275,0.0295,0.2743,0.0261
Body_278,0.0495,0.2743,0.0261
Body_281,0.0095,0.0323,0.0282
Body_284,0.0295,0.0323,0.0282
Body_287,0.0495,0.0323,0.0282
Body_290,0.0095,0.1323,0.0282
Body_293,0.0295,0.1323,0.0282
Body_296,0.0495,0.1323,0.0282
Body_299,0.0095,0.2323,0.0282
Body_302,0.0295,0.2323,0.0282
Body_305,0.0495,0.2323,0.0282
Body_308,0.0095,0.0673,0.0283
Body_311,0.0295,0.0673,0.0283
Body_314,0.0495,0.0673,0.0283
Body_317,0.0095,0.1673,0.0283
Body_320,0.0295,0.1673,0.0283
Body_323,0.0495,0.1673,0.0283
Body_326,0.0095,0.2673,0.0283
Body_329,0.0295,0.2673,0.0283
Body_332,0.0495,0.2673,0.0283
Body_335,0.0095,0.0393,0.0297
Body_338,0.0295,0.0393,0.0297
Body_341,0.0495,0.0393,0.0297
Body_344,0.0095,0.1393,0.0297
Body_347,0.0295,0.1393,0.0297
Body_350,0.0495,0.1393,0.0297
Body_353,0.0095,0.2393,0.0297
Body_356,0.0295,0.2393,0.0297
Body_359,0.0495,0.2393,0.0297
Body_362,0.0095,0.0603,0.0297
Body_365,0.0295,0.0603,0.0297
Body_368,0.0495,0.0603,0.0297
Body_371,0.0095,0.1603,0.0297
Body_374,0.0295,0.1603,0.0297
Body_377,0.0495,0.1603,0.0297
Body_380,0.0095,0.2603,0.0297
Body_383,0.0295,0.2603,0.0297
Body_386,0.0495,0.2603,0.0297
Body_389,0.0095,0.0463,0.0304
Body_392,0.0295,0.0463,0.0304
Body_395,0.0495,0.0463,0.0304
Body_398,0.0095,0.1463,0.0304
Body_401,0.0295,0.1463,0.0304
Body_404,0.0495,0.1463,0.0304
Body_407,0.0095,0.2463,0.0304
Body_410,0.0295,0.2463,0.0304
Body_413,0.0495,0.2463,0.0304
Body_416,0.0095,0.0533,0.0304
Body_419,0.0295,0.0533,0.0304
Body_422,0.0495,0.0533,0.0304
Body_425,0.0095,0.1533,0.0304
Body_428,0.0295,0.1533,0.0304
Body_431,0.0495,0.1533,0.0304
Body_434,0.0095,0.2533,0.0304
Body_437,0.0295,0.2533,0.0304
Body_440,0.0495,0.2533,0.0304
Body_3599,0.0,0.0,0.0
Body_3602,0.0,0.0,0.0
Body_3605,0.0,0.0,0.0
Body_3608,0.0,0.0,0.0
Body_3611,0.0,0.0,0.0
Body_3614,0.0,0.0,0.0
Body_3617,0.0,0.0,0.0
Body_3620,0.0,0.0,0.0
Body_3623,0.0,0.0,0.0
Body_3626,0.0,0.0,0.0
Body_3629,0.0,0.0,0.0
Body_3632,0.0,0.0,0.0
Body_3635,0.0,0.0,0.0
Body_3638,0.0,0.0,0.0
Body_3641,0.0,0.0,0.0
Body_3644,0.0,0.0,0.0
Body_3647,0.0,0.0,0.0
Body_3650,0.0,0.0,0.0
Body_3653,0.0,0.0,0.0
Body_3656,0.0,0.0,0.0
Body_3659,0.0,0.0,0.0
Body_3662,0.0,0.0,0.0
Body_3665,0.0,0.0,0.0
Body_3668,0.0,0.0,0.0
Body_3671,0.0,0.0,0.0
Body_3674,0.0,0.0,0.0
Body_3677,0.0,0.0,0.0
Body_3680,0.0,0.0,0.0
Body_3683,0.0,0.0,0.0
Body_3686,0.0,0.0,0.0
Body_3689,0.0,0.0,0.0
Body_3692,0.0,0.0,0.0
Body_3695,0.0,0.0,0.0
Body_3698,0.0,0.0,0.0
Body_3701,0.0,0.0,0.0
Body_3704,0.0,0.0,0.0
Body_3707,0.0,0.0,0.0
Body_3710,0.0,0.0,0.0
Body_3713,0.0,0.0,0.0
Body_3716,0.0,0.0,0.0
Body_3719,0.0,0.0,0.0
Body_3722,0.0,0.0,0.0
Body_3725,0.0,0.0,0.0
Body_3728,0.0,0.0,0.0
Body_3731,0.0,0.0,0.0
Body_3734,0.0,0.0,0.0
Body_3737,0.0,0.0,0.0
Body_3740,0.0,0.0,0.0
Body_3743,0.0,0.0,0.0
Body_3746,0.0,0.0,0.0
Body_3749,0.0,0.0,0.0
Body_3752,0.0,0.0,0.0
Body_3755,0.0,0.0,0.0
Body_3758,0.0,0.0,0.0
Body_3761,0.0,0.0,0.0
Body_3764,0.0,0.0,0.0
Body_3767,0.0,0.0,0.0
Body_3770,0.0,0.0,0.0
Body_3773,0.0,0.0,0.0
Body_3776,0.0,0.0,0.0
Body_3779,0.0,0.0,0.0
Body_3782,0.0,0.0,0.0
