Node	X	Y	Z
15007	0.019	0.0023246	0.010891
15008	0.017116	0.0028175	0.011357
15009	0.015215	0.003315	0.011819
15010	0.013327	0.0038091	0.012268
15011	0.011422	0.0043075	0.012713
15012	0.013307	0.0048023	0.013146
15013	0.015208	0.0053011	0.013575
15014	0.017096	0.0057968	0.013992
15015	0.019	0.0062964	0.014405
15016	0.0095141	0.0048068	0.01315
15017	0.0079359	0.0052198	0.013505
15018	0.006347	0.0056355	0.013857
15019	0.0047664	0.0060491	0.014202
15020	0.0031755	0.0064654	0.014543
15021	0.0015927	0.0068796	0.014877
15022	0.0	0.0072964	0.015208
15023	0.019	0.0072964	0.015208
15024	0.017412	0.0068796	0.014877
15025	0.015834	0.0064654	0.014543
15026	0.014248	0.0060491	0.014202
15027	0.012672	0.0056355	0.013857
15028	0.011088	0.0052198	0.013505
15029	0.0075949	0.0043031	0.012709
15030	0.0056859	0.0038021	0.012262
15031	0.0037936	0.0033054	0.01181
15032	0.001888	0.0028053	0.011346
15033	-7.8139e-18	0.0023098	0.010876
15034	0.0	0.0062964	0.014405
15035	0.0019078	0.0057957	0.013991
15036	0.0038007	0.0052989	0.013573
15037	0.0057057	0.0047989	0.013143
15038	0.0095	0.0038031	0.012263
15039	0.0079079	0.0033852	0.011883
15040	0.0063276	0.0029705	0.0115
15041	0.004738	0.0025533	0.011108
15042	0.0031608	0.0021394	0.010713
15043	0.0015739	0.0017229	0.010308
15044	0.0	0.0013098	0.0099005
15045	0.019	0.0013098	0.0099005
15046	0.017426	0.0017229	0.010308
15047	0.015839	0.0021394	0.010713
15048	0.014262	0.0025533	0.011108
15049	0.012672	0.0029705	0.0115
15050	0.011092	0.0033852	0.011883
15051	0.019	0.0062964	0.015691
15052	0.019	0.0072964	0.016476
15053	0.019	0.0023246	0.012265
15054	0.019	0.0013098	0.011302
15055	0.0	0.0072964	0.016476
15056	0.0	0.0062964	0.015691
15057	-7.8139e-18	0.0023098	0.012251
15058	0.0	0.0013098	0.011302
15059	0.017426	0.0017229	0.011699
15060	0.015839	0.0021395	0.012092
15061	0.014262	0.0025534	0.012477
15062	0.012672	0.0029706	0.012858
15063	0.011092	0.0033853	0.013232
15064	0.0095	0.0038031	0.013602
15065	0.0079081	0.0033853	0.013232
15066	0.0063281	0.0029706	0.012858
15067	0.0047385	0.0025534	0.012477
15068	0.0031613	0.0021395	0.012092
15069	0.0015742	0.0017229	0.011699
15070	0.0019077	0.0057957	0.015287
15071	0.0038005	0.0052989	0.014879
15072	0.0057055	0.004799	0.01446
15073	0.0075949	0.0043031	0.014037
15074	0.0056861	0.0038021	0.013601
15075	0.0037939	0.0033055	0.01316
15076	0.0018882	0.0028054	0.012708
15077	0.017412	0.0068797	0.016152
